Source,Category,Subcategory,Brief Description,Description
Clinical scales,Emotional Control,Emotional Expression,Appropriateness of emotional display,The degree to which the student's emotional expressions match the situation and are communicated in socially appropriate ways.
Clinical scales,Social Relationships,Peer Connections,Making and keeping friends,"The student's ability to form, develop, and maintain positive friendships and relationships with same-age peers."
Clinical scales,Social Relationships,Social Engagement,Participating with others,"The student's interest in and initiation of social interactions, group activities, and cooperative play or work."
Clinical scales,Social Relationships,Social Skills,Interacting appropriately,"The student's use of appropriate social behaviors such as sharing, taking turns, conversation skills, and reading social cues."
Clinical scales,Social Relationships,Empathy and Kindness,Understanding and caring for others,"The student's ability to recognize others' feelings, show compassion, and act with consideration toward peers and adults."
Clinical scales,Behavior,Rule Following,Adhering to expectations,"The student's willingness and ability to follow classroom rules, school expectations, and adult directions."
Clinical scales,Behavior,Honesty,Truthfulness and integrity,The student's tendency toward truthful communication and taking responsibility for their own actions.
Clinical scales,Behavior,Respect for Property,Care for belongings,"The student's treatment of their own belongings and those of others, including shared classroom and school materials."
Clinical scales,Behavior,Conflict with Others,Arguments and disagreements,"The frequency and intensity of verbal or physical conflicts, arguments, or hostile interactions with peers or adults."
Clinical scales,Behavior,Aggression,Hostile or harmful behavior,"The occurrence of behaviors intended to hurt, intimidate, or harm others physically, verbally, or relationally."
Clinical scales,Academic Engagement,Motivation,Drive to learn,"The student's internal motivation, effort, and persistence when engaging with academic material and learning challenges."
Clinical scales,Academic Engagement,Class Participation,Engagement in learning,"The student's active involvement in classroom discussions, activities, and learning opportunities."
Clinical scales,Academic Engagement,Work Habits,Approach to schoolwork,"The student's consistency, care, and thoroughness when completing assignments and managing academic responsibilities."
Clinical scales,Communication,Expressing Ideas,Clarity of communication,"The student's ability to express thoughts, needs, and ideas clearly through verbal or written communication."
Clinical scales,Communication,Listening,Attending to others' communication,"The student's ability to pay attention when others speak, follow verbal instructions, and demonstrate understanding."
Clinical scales,Communication,Conversation Skills,Back-and-forth communication,"The student's ability to engage in reciprocal conversation, including taking turns, staying on topic, and responding appropriately."
Clinical scales,Adaptability,Flexibility,Adjusting to change,"The student's ability to adapt when plans, routines, or expectations change unexpectedly."
Clinical scales,Adaptability,New Situations,Handling unfamiliar experiences,"The student's comfort level and ability to cope when facing new people, places, activities, or challenges."
Clinical scales,Adaptability,Transitions,Moving between activities,"The student's ability to smoothly shift from one activity, setting, or task to another throughout the school day."
Clinical scales,Independence,Self-Direction,Working independently,The student's ability to initiate and sustain work or activities without constant adult direction or supervision.
Clinical scales,Independence,Problem-Solving,Figuring things out,"The student's ability to identify problems, generate solutions, and work through challenges with increasing autonomy."
Clinical scales,Independence,Help-Seeking,Asking for support appropriately,The student's ability to recognize when help is needed and to seek assistance from appropriate sources in constructive ways.
Clinical scales,Physical Well-Being,Energy Level,Vitality and stamina,"The student's apparent energy, alertness, and physical vitality throughout the school day."
Clinical scales,Physical Well-Being,Sleep-Related Concerns,Rest and tiredness,"Observable signs that the student may be experiencing inadequate sleep, fatigue, or sleep-related difficulties."
Clinical scales,Physical Well-Being,Physical Complaints,Bodily discomfort,"The frequency of the student's reports of physical symptoms such as headaches, stomachaches, or general discomfort without apparent medical cause."
,,,,
Clinical scales,Attention & Focus,Concentration,Ability to maintain focus on tasks,"The degree to which a student can sustain mental effort and attention on academic tasks, conversations, and activities without losing track of what they are doing"
Clinical scales,Attention & Focus,Distractibility,Susceptibility to losing focus,"How easily a student is pulled away from tasks by noises, movements, or other environmental stimuli, and how well they can filter out irrelevant information"
Clinical scales,Activity Level,Physical Restlessness,Difficulty staying still,"The extent to which a student has trouble remaining seated, staying calm, or controlling physical movement when expected to be still"
Clinical scales,Activity Level,Energy Regulation,Managing energy and activity levels,A student's ability to modulate their energy level appropriately for different settings—settling down when needed and maintaining sufficient energy for tasks
Clinical scales,Impulse Control,Thinking Before Acting,Pausing to consider consequences,"The tendency to stop and think before speaking or acting, rather than immediately responding to urges or reacting without reflection"
Clinical scales,Impulse Control,Waiting & Turn-Taking,Patience in structured situations,"A student's ability to wait their turn, stand in line, delay gratification, and refrain from interrupting others during conversations or activities"
Clinical scales,Emotional Regulation,Managing Strong Feelings,Handling intense emotions appropriately,"How well a student copes with powerful emotions like anger, frustration, excitement, or disappointment without becoming overwhelmed or acting out"
Clinical scales,Emotional Regulation,Mood Stability,Consistency of emotional state,The degree to which a student maintains a relatively stable emotional baseline versus experiencing frequent or rapid shifts between different mood states
Clinical scales,Emotional Regulation,Recovering from Upset,Bouncing back after frustration,"How quickly and effectively a student can calm down and return to normal functioning after experiencing a setback, disappointment, or emotional upset"
Clinical scales,Worry & Nervousness,General Worry,Tendency toward excessive concern,"The extent to which a student worries about things—including future events, past mistakes, performance, or potential problems—beyond what situations warrant"
Clinical scales,Worry & Nervousness,Social Nervousness,Discomfort in social situations,"A student's level of anxiety or self-consciousness when interacting with others, being observed, performing in front of people, or meeting new peers"
Clinical scales,Worry & Nervousness,School-Related Nervousness,Anxiety connected to school,"Concerns or fears specifically related to school—including worry about tests, being called on, going to school, or academic performance"
Clinical scales,Mood & Outlook,Sadness,Persistent unhappiness or low mood,"The frequency and depth of a student's feelings of sadness, unhappiness, or emotional pain that persist beyond typical responses to disappointing events"
Clinical scales,Mood & Outlook,Interest & Enjoyment,Engagement with activities and life,"A student's capacity to feel interested in activities, experience pleasure and enjoyment, and approach life with curiosity rather than apathy"
Clinical scales,Mood & Outlook,Self-Worth,Sense of personal value,"How a student feels about themselves—including their confidence in their abilities, sense of being liked and valued, and overall self-regard"
Clinical scales,Social Connections,Friendships,Building and maintaining peer relationships,"A student's ability to make friends, maintain friendships over time, and experience the reciprocal give-and-take that characterizes healthy peer relationships"
Clinical scales,Social Connections,Social Comfort,Ease in social interactions,"How comfortable and at ease a student feels when interacting with peers, adults, and people they don't know well"
Clinical scales,Social Connections,Getting Along with Others,Cooperative interaction with peers,"A student's general ability to interact positively with other students—sharing, taking turns, resolving conflicts, and being accepted by the peer group"
Clinical scales,Conduct & Behavior,Following Rules,Compliance with expectations,"The degree to which a student follows classroom rules, adult instructions, and behavioral expectations at school without frequent reminders or resistance"
Clinical scales,Conduct & Behavior,Aggression & Conflict,Physical and verbal hostility,"The frequency and intensity of a student's aggressive behaviors—including fighting, threatening, bullying, or being cruel to others"
Clinical scales,Conduct & Behavior,Honesty & Trustworthiness,Truthfulness and ethical behavior,"A student's tendency to be truthful, avoid cheating, respect others' property, and behave in ways that are honest and trustworthy"
Clinical scales,Academic Engagement,Motivation & Effort,Drive to do well in school,"A student's willingness to try their best, persist with challenging work, and put forth genuine effort on academic tasks"
Clinical scales,Academic Engagement,Work Completion,Following through on assignments,"The extent to which a student finishes what they start, completes homework and classwork, and follows through on academic responsibilities"
Clinical scales,Academic Engagement,School Belonging,Connection to school environment,"A student's sense of feeling safe, welcome, and engaged at school—including enjoyment of being there and feeling like they matter to the school community"
Clinical scales,Organization & Planning,Keeping Track of Things,Managing materials and belongings,"A student's ability to keep track of necessary items like assignments, books, supplies, and personal belongings without frequently losing them"
Clinical scales,Organization & Planning,Task Organization,Structuring and sequencing work,"How well a student can organize tasks and activities—including breaking work into steps, planning ahead, and approaching assignments systematically"
Clinical scales,Helping & Caring,Kindness to Others,Prosocial and caring behavior,"A student's tendency to be kind, considerate, helpful, and caring toward peers—including offering help, sharing, and showing concern for others' feelings"
Clinical scales,Helping & Caring,Fairness,Treating others equitably,"A student's inclination to treat others fairly, take turns, share resources equitably, and recognize when something is unfair"
,,,,
Clinical scales,Attention and Focus,Attention,Ability to concentrate and maintain focus on tasks,"The student's capacity to direct and sustain mental effort on activities, including listening, following instructions, and staying on task despite distractions"
Clinical scales,Attention and Focus,Organization,Ability to plan and manage tasks and materials,"The student's capacity to keep track of belongings, manage time, prioritize tasks, and maintain orderly approaches to schoolwork and daily activities"
Clinical scales,Attention and Focus,Task Completion,Following through on assignments and activities,"The student's tendency to finish what they start, persist through challenges, and complete work without excessive prompting"
Clinical scales,Activity Level and Self-Control,Physical Restlessness,Difficulty staying still or seated,"Observable patterns of fidgeting, squirming, leaving seat, or excessive movement in situations requiring calm and stillness"
Clinical scales,Activity Level and Self-Control,Impulse Control,Thinking before acting or speaking,"The student's ability to pause, consider consequences, wait their turn, and regulate urges to act or speak without thinking"
Clinical scales,Activity Level and Self-Control,Self-Regulation,Managing one's own behavior,The student's capacity to monitor and adjust their own behavior to meet situational demands without constant external prompting
Clinical scales,Emotional Well-Being,Mood and Happiness,General emotional state and outlook,"The student's typical emotional tone, including general cheerfulness, contentment, and capacity for enjoyment in daily activities"
Clinical scales,Emotional Well-Being,Sadness and Low Mood,Signs of unhappiness or withdrawal,"Observable indicators that the student may be experiencing persistent sadness, loss of interest, hopelessness, or emotional withdrawal"
Clinical scales,Emotional Well-Being,Self-Worth,Confidence and positive self-regard,"The student's sense of personal value, competence, and confidence in their own abilities and worthiness"
Clinical scales,Worry and Stress,General Worry,Tendency to be anxious or concerned,"The frequency and intensity of the student's worry, nervousness, or apprehension about various aspects of life"
Clinical scales,Worry and Stress,Fears,Strong negative reactions to specific situations,"The student's experience of intense fear or avoidance related to particular objects, situations, or circumstances"
Clinical scales,Worry and Stress,Stress Responses,Physical and emotional reactions to pressure,"How the student's body and mind respond to stressful situations, including physical tension, nervousness, and difficulty relaxing"
Clinical scales,Social Connections,Peer Relationships,Getting along with same-age peers,"The student's ability to form and maintain friendships, be accepted by peers, and navigate the social world of same-age children"
Clinical scales,Social Connections,Social Skills,Interacting appropriately with others,"The student's competence in reading social cues, taking turns in conversation, showing empathy, and behaving appropriately in social situations"
Clinical scales,Social Connections,Social Comfort,Ease in social situations,"How comfortable and confident the student feels when interacting with others, including shyness, social hesitation, or fear of negative evaluation"
Clinical scales,Behavior and Conduct,Rule-Following,Compliance with expectations and boundaries,"The student's tendency to follow rules, respect authority, and comply with reasonable expectations from adults"
Clinical scales,Behavior and Conduct,Aggression,Hostile or hurtful behavior toward others,"The frequency and intensity of behaviors intended to harm, intimidate, threaten, or bully others, whether physical or verbal"
Clinical scales,Behavior and Conduct,Honesty and Integrity,Truthfulness and respect for property,"The student's tendency to be honest, avoid deception, and respect the belongings and rights of others"
Clinical scales,Emotional Regulation,Frustration Tolerance,Handling disappointment and setbacks,"How well the student manages frustration, disappointment, and situations that don't go their way without excessive upset"
Clinical scales,Emotional Regulation,Anger Management,Controlling and expressing anger appropriately,"The student's ability to experience anger without losing control, and to express upset in ways that don't harm self or others"
Clinical scales,Emotional Regulation,Emotional Stability,Consistency of mood and reactions,"The steadiness of the student's emotional state, including predictability of responses and recovery from emotional upset"
Clinical scales,Academic Engagement,Motivation and Effort,Interest and investment in learning,"The student's drive to learn, willingness to put forth effort, and intrinsic interest in academic activities"
Clinical scales,Academic Engagement,School Attitudes,Feelings about school and learning,"The student's overall orientation toward school, including enjoyment, perceived relevance, and sense of belonging"
Clinical scales,Academic Engagement,Academic Performance,Quality and consistency of schoolwork,"Observable patterns in the student's work quality, including effort, accuracy, and meeting academic expectations"
Clinical scales,Independence and Adaptability,Independence,Age-appropriate self-reliance,"The student's ability to function autonomously, solve problems independently, and take initiative without excessive adult support"
Clinical scales,Independence and Adaptability,Adaptability,Adjusting to changes and new situations,"How well the student handles transitions, changes in routine, new environments, and unexpected circumstances"
Clinical scales,Prosocial Behavior,Helpfulness,Willingness to assist others,"The student's inclination to offer help, support, and assistance to peers and adults without being asked"
Clinical scales,Prosocial Behavior,Cooperation,Working well with others,"The student's ability to collaborate, share, take turns, and work productively as part of a group"
Clinical scales,Prosocial Behavior,Empathy and Kindness,Caring about others' feelings,The student's capacity to recognize and respond sensitively to others' emotional states and to show genuine care and compassion
Clinical scales,Communication,Expressive Communication,Sharing thoughts and feelings clearly,"The student's ability to express ideas, needs, and emotions in ways that others can understand"
Clinical scales,Communication,Receptive Communication,Understanding what others communicate,The student's ability to comprehend verbal and nonverbal communication from teachers and peers
Clinical scales,Physical Well-Being,Energy Level,Typical vitality and physical stamina,"The student's general energy, alertness, and physical vigor during the school day"
Clinical scales,Physical Well-Being,Physical Complaints,Reports of bodily discomfort,"The frequency of the student's complaints about headaches, stomachaches, or other physical symptoms without clear medical cause"
Clinical scales,Physical Well-Being,Sleep-Related Concerns,Signs of inadequate or poor sleep,"Observable indicators that the student may not be getting adequate rest, including fatigue, difficulty waking, or mentions of sleep problems"
