Source,Subcategory,Category,Brief Description,Description
FACETS,Bullying,Interacting with Others,involvement as victim perpetrator or encouraging observer,"Bullying, the most common form of interpersonal violence, is a recurrent pattern of behavior that takes place when one individual takes advantage of a power differential to cause physical or emotional harm to another. Participants in bullying may be victims, perpetrators, and victim-perpetrators, as well as active and passive by-standers/observers. Each of those involved in bullying can suffer adverse consequences from the experience."
Clinical scales,Class Participation,Academic Engagement,Engagement in learning,"The student's active involvement in classroom discussions, activities, and learning opportunities."
GPT 5.2 Thinking,Classroom Comfort,School Belonging and Connectedness,feeling comfortable participating and being oneself in class,"Classroom comfort reflects how safe and comfortable a student feels engaging in class activities, sharing ideas, and making mistakes in front of others. High comfort supports participation and learning risk-taking. Low comfort may show as reluctance to speak, fear of embarrassment, or avoidance of activities that draw attention, even when the student understands the material."
Frameworks,collaborate with others,21st Century Learning,"Demonstrate ability to work effectively and respectfully with diverse teams; Exercise flexibility and willingness to be helpful in making necessary compromises to accomplish a common goal; Assume shared responsibility for collaborative work, and value the individual contributions made by each team member",
FACETS,Compliance,Behavior Control and Regulation,following rules and instructions adaptively,"Compliance is adherence to rules or directions, consistent with the setting or environment (e.g., school, work, home, etc.) in order to achieve goals and objectives."
Clinical scales,Conflict with Others,Behavior,Arguments and disagreements,"The frequency and intensity of verbal or physical conflicts, arguments, or hostile interactions with peers or adults."
Claude Opus 4.5,Coping Strategies,Worry and Stress,Methods for managing stress,"The approaches the student uses to handle stressful situations, including whether strategies are effective and appropriate."
FACETS,Creativity,Learning with Reasoning and Abstraction,applying novel strategies to problem-solving,"Creativity is the ability to see beyond traditionals constraints and rules, and to allow imagination as well as novel and unique ideas to help solve new problems, offer alternative solutions to existing tasks or problems, and provide unique perspectives on the many aspects of our daily lives."
Frameworks,critical thinking and problem solving,Kenya BECF Core Competencies for Basic Education,"An important outcome of quality education is teaching learners how to think critically. The British Council (2015) identifies three types of thinking: reasoning, making judgements, and problem solving. It is possible for learners to reason in an uncritical way. When learners are empowered with critical thinking, they avoid being subjective, and use logic and evidence to arrive at conclusions. Critical thinking also facilitates exploring new ways of doing things and learner autonomy. Learners learn that for every issue there are multiple perspectives that they can explore, rather than a rigid recall and regurgitation of information.",
Frameworks,curiosity,ACT Holistic Framework,Seeking out information to better understand a wide range of topic areas and/or obtaining a depth of understanding in one topic area that goes beyond what is required,
GPT 5.2 Thinking,Daily Self-Care Routines,General Well-Being,managing daily self-care routines that support comfort at school,"Daily self-care routines include actions that help a student stay comfortable and ready to learn (e.g., basic hygiene, dressing appropriately for the day, managing personal items, and attending to basic needs). Strong routines support independence and peer comfort. Difficulty may show as frequent forgetfulness of basic needs, needing repeated reminders for hygiene-related tasks, or discomfort that interferes with participation."
Frameworks,decision-making,Room to Read Life Skills Education Learning Outcomes,Girls understand the steps in decision-making and goal-setting and have developed skills of independence and initiative in making choices. Girls make short- and long-term goals for their schooling and future careers by examining issues and ideas from various perspectives. Girls analyze and discuss decisions points and give examples of steps they follow and why they make a specific decision or goal.,
FACETS,Distorted Perceptions of Reality,Learning with Reasoning and Abstraction,inappropriate or inaccurate interpretation of events experiences and thoughts,"Perception of reality, or “reality testing,” is the ability to consistently discern the difference between facts and fantasy or other imagined thought content and perceptions. While each of us may have a vivid imagination and fantasies, except under extraordinary circumstances, we can readily distinguish between reality and that which we imagine. The extraordinary circumstances under which clearly recognizing reality may be impaired, include: extreme stress, during intense grief, when very defensive, and when engaged in intense play or similar activity. In these latter cases, the difficulty distinguishing between reality and fantasy/imagination is usually short-lived and quite specific to the circumstances (e.g., seeing visions of the presence of a recently deceased person). Specific difficulties associated with problems in reality perception include: hallucination (i.e., hearing, seeing, feeling or other sensation in the absence or an actual stimulus), delusion (i.e., a false belief), illusion (i.e., gross misperception of an actual stimulus), etc."
FACETS,Eating,General Well-Being,maintaining dietary intake and nutrition,"Eating is a complex behavior that has both nutritional and social components. The nutritional component is the appropriate consumption of both calories (for energy) and the elements of the diet (protein, vitamins, minerals, fats, carbohydrates, etc.) necessary for maintaining healthy function. There are two main social components of eating: the social interactions associated with the preparation and consumption of food, and the cultural elements associated with menus, dining schedules, and food consumption (e.g., Kosher, Hallal, vegan/vegetarian, etc.) Food preparation and dining are often social experiences that reflect culture and other expectations for cooperation and sharing of both food and conversation, as well as engagement in a variety of behaviors directly associated with eating, such as use of specific utensils (chopsticks, fork, spoon, hands, etc.), cleanliness, order, and the nature of physical presence (e.g., sitting in a chair, standing, walking, sitting cross-legged on the floor, use of a particular hand, etc.) Appropriate participation in all elements of eating are important for health and happiness."
Claude Opus 4.5,Effort,Motivation and Engagement,Amount of energy invested in schoolwork,"The degree to which the student applies themselves to academic tasks, tries their best, and demonstrates genuine investment in the quality of their work."
FACETS,Emotion Regulation/Reactivity,Emotional Expression,managing threshold and intensity of emotional responses,"Emotions are strong feelings derived from internal and external stimuli that are reflected in mood and responsive to environmental factors and relationships with others. These feelings may range broadly and include joy, happiness, love, euphoria, anxiety, sadness, fear, loss, and many more. These emotions play a critical role in social communication, motivation, and protection. However, in order to maintain adaptive functioning, emotions require careful regulation in terms of type, intensity, and duration of emotional expression, each of which must be sensitive to environmental, social, and cultural factors."
Emotion Regulation/Reactivity,Emotional Awareness,Emotional Well-Being,identifying and labeling own emotions,"Emotional awareness is the ability to recognize and understand one's own emotions as they are happening. It involves distinguishing between different feeling states (e.g., frustration vs. anger) and understanding the causes of these feelings. This is a foundational skill for emotion regulation."
Clinical scales,Emotional Expression,Emotional Control,Appropriateness of emotional display,The degree to which the student's emotional expressions match the situation and are communicated in socially appropriate ways.
GPT 5.2 Thinking,Emotional Resilience,Emotional Well-Being,recovering from setbacks and returning to a steady emotional state,"Emotional resilience is the ability to bounce back after disappointment, conflict, mistakes, or other challenges. Resilient students can regain composure and re-engage with learning, sometimes with brief support. Low resilience may appear as lingering upset, repeatedly dwelling on setbacks, or difficulty returning to baseline after relatively small challenges."
Frameworks,emotional well-being,MELQO MODEL Framework,"Emotional well-being refers to aspects of optimal mental health that, if not evident in a child at this early stage, could predict more serious mental health problems, such as anxiety – a potential sign of post-traumatic stress disorder (PTSD); sadness, a potential precursor of depression; or the inability to control aggressive impulses – a precursor of oppositional and conduct disorders.",
FACETS,Empathy,Interacting with Others,having sensitivity to the feelings and needs of others,Empathy is the ability to understand the emotions and emotional state of another person (and some animals.)
Frameworks,energy,OECD,"Approaching daily life with energy, excitement and spontaneity.",
GPT 5.2 Thinking,Engagement with Learning,Academic Engagement,showing interest and involvement in learning activities,"Engagement with learning reflects how much a student is mentally and behaviorally involved in instruction and learning tasks. In the classroom, it may show up as attending to lessons, participating appropriately, asking questions, and staying involved even when tasks are challenging. Low engagement may look like frequent disengagement, minimal participation, or avoidance of learning activities."
Frameworks,exploration,ACT Holistic Framework,"Seeking and processing education and occupation information guided by knowledge of the self (e.g., identifying specific occupations that are of interest to you)",
GPT 5.2 Thinking,Expressing Needs and Questions,Expressive Communication,"clearly communicating needs, questions, and concerns","Expressing needs and questions refers to a student’s ability to tell others what they need in a clear, appropriate way (e.g., asking for clarification, requesting a break, or reporting a concern). Strong skills support independence and reduce frustration. Difficulty may be seen when a student stays silent when confused, communicates indirectly, or expresses needs through behavior rather than words."
FACETS,Expressive Language,Expressive Communication,communicating with speech and gestures,"Expressive Language includes words and sounds, powerfully augmented by non-verbal communication, including gestures, body posture, facial expression etc. There are many subtle elements that enhance the breadth, depth and nuance of expressive language. These include rate, rhythm, volume, prosody, and tone of speech, as well as vocabulary and word choice. Effective expressive communication requires the flexible, skillful combination of gestures and spoken words. It takes considerable effort to communicate functionally, yet remarkably, even from early life, typically developing individuals are able to express to others their ideas, feelings, wants, and needs. These skills grow in complexity over the course of the lifespan, however, there is considerable variability amongst individuals that depends on biological make-up, cognitive ability, environmental factors, and cultural/social experiences."
Frameworks,fairness,ACT Holistic Framework,Acting in ways that are intended to be unbiased and fair to everyone,
FACETS,Fine Motor Skills,Motor Skills,performing the full spectrum of fine motor activities,"Fine motor skills are represented by small motor movements, most commonly the product of the small muscle groups of the hands, fingers, toes, face and neck. It takes a great deal of coordination to effectively use the many muscle groups involved in fine motor activity. The coordination includes input from the kinesthetic, visual, and somatosensory systems, as well as practice for complex tasks, such as writing, drawing, speaking, and facial expression."
Frameworks,flexibility,ACT Holistic Framework,Adapting to new environments and making adjustments to accommodate changes,
Claude Opus 4.5,Frustration Tolerance,Emotional Regulation,Handling difficulty without becoming overwhelmed,"The student's ability to cope with challenging situations, setbacks, or obstacles without becoming excessively upset, shutting down, or acting out."
FACETS,Future Outlook,Disposition,having thoughts and feelings about the future,"Future outlook is the ability and willingness to flexibly think about and imagine the future, and adaptively anticipate what is to come in the near-and-short-term. A perspective on the future is usually accompanied by an attitude about what opportunities, threats, and goals lie ahead, an attitude that can shape actions and preparations related to potential future events."
Frameworks,goal orientation,USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,"Goal orientationis defined as the motivation and ability to make viable plans and take action toward desired goals (Lippman et al., 2014a). Goal orientation was conceptualized in the workforce and SRH literature as educational and career aspirations, expectations about one’s ability to achieve specific accomplishments in the future, goal setting and planning skills. Goal orientation is closely tied with positive self-concept, since it relates to individuals’ beliefs about their abilities to accomplish specific goals. Goal-orientation was supported by the literature as related to three of the SRH outcomes studied for youth and was endorsed by some experts.",
FACETS,Gross Motor Skills,Motor Skills,performing the full spectrum of gross motor activities,"Gross motor skills are generally large amplitude motor movements, most commonly the product of the larger muscle groups of the limbs and trunk. Since there are many muscle groups involved in gross motor activity they must be coordinated to be effective. The coordination includes input from the kinesthetic, visual, and somatosensory systems, as well as practice for complex tasks, including walking. Skilled gross motor activity sets the stage for success in many areas including athletics, dance, cycling, driving etc."
Frameworks,growth mindset,Character Lab,Having a growth mindset means understanding that intelligence can be developed.,
FACETS,Habits/Routines,Behavior Control and Regulation,managing recurring habits,"Habits are well-practiced routines that are essential for managing daily function by creating efficiency and effectiveness processes for managing recurring tasks and addressing familiar problems. Habits are automatic behaviors, but, when necessary for successful adaptation, can be modified to accommodate changing circumstances."
Claude Opus 4.5,Handling Challenges,Problem-Solving,Approaching difficulties constructively,The extent to which a student responds to obstacles or problems with a solution-oriented mindset rather than avoidance or frustration.
Clinical scales,Help-Seeking,Independence,Asking for support appropriately,The student's ability to recognize when help is needed and to seek assistance from appropriate sources in constructive ways.
Social Communication,Helpfulness,Prosocial Behavior,Willingness to assist others,"The student's inclination to offer help, support, and assistance to peers and adults without being asked"
FACETS,Inadequate Self-Care/Hygiene,General Well-Being,not maintaining appropriate cleanliness,"Hygiene is a group of practices that are primarily designed to maintain cleanliness and prevention of disease. However, in addition to a health component, there is a strong social component to hygiene that is culturally driven. This includes grooming practices, attire, and general standards of tidiness. To meet the basic health obligations for hygiene requires regular washing and bathing of the body as well as washing clothes. To meet the social obligations of hygiene not only includes cleanliness, but also attending to standards for physical presentation. This includes various elements and depends on culture and environment. Some factors may include the type of clean clothing, cleaning teeth, arranging hair, trimming and painting nails, the use of makeup, management of body odor, etc."
Clinical scales,Independence,Independence and Adaptability,Age-appropriate self-reliance,"The student's ability to function autonomously, solve problems independently, and take initiative without excessive adult support"
Frameworks,initiative,The PRACTICE Model,"Initiative can be conceptualized as the “active ingredient” that motivates individuals to operate as positive and successful actors in their own lives and in systems. Initiative hinges on personal agency31 and an internal locus of control, a belief that outcomes depend on one’s own actions rather than fate, chance, or others. It is linked to enterprise, taking charge, follow-through, determination, and leadership. It also facilitates effective engagement within organizational contexts. Although initiative and achievement motivation are related, they are distinct skills. Initiative relates to any type of “take charge” action such as picking up litter on the street, whereas achievement motivation is linked to a desire to succeed and is associated with setting long-term academic and career goals and following this pursuit in spite of obstacles that may occur along the way. Initiative correlates with mastery orientation to achievement and relates to the personality traits of Openness to Experience and Conscientiousness.",
FACETS,Integrity and Honesty,Sense of Self,recognizing and sharing truths and falsehoods with others,"Integrity is the commitment to being honest and principled in one’s approach to problem-solving, as well as in social interactions. There are two major failures in integrity: 1) Errors of commission - specifically being dishonest or representing an untruth; and, 2) Errors of omission - specifically withholding important information required for a fair and balanced approach to a specific circumstance or situation."
Frameworks,intellectual openness,Hilton & Pellegrino Clusters of 21st Century Competencies,"Flexibility, adaptability, artistic and cultural appreciation, personal and social responsibility (including cultural awareness and competence), appreciation for diversity, adaptability, continuous learning, intellectual interest and curiosity",
Clinical scales,Interest & Enjoyment,Mood & Outlook,Engagement with activities and life,"A student's capacity to feel interested in activities, experience pleasure and enjoyment, and approach life with curiosity rather than apathy"
Claude Opus 4.5,Interest in Learning,Motivation and Engagement,Curiosity and enthusiasm for new knowledge,"The student's apparent enjoyment of learning, desire to explore new topics, and engagement with educational content beyond minimum requirements."
FACETS,Irritability,Emotional Expression,reacting to frustration or annoyance,"Irritability is a feeling of agitation and annoyance in response to a stimulus or stress. Irritability can be an appropriate response to a offensive social or physical stimulus that becomes problematic, however, the appropriate intensity of such a response varies based on the intensity and persistence of the stimulus, as well as the social context. Irritability can range from a mild facial expression or gesture to a massive outpouring of emotions."
Clinical scales,Kindness to Others,Helping & Caring,Prosocial and caring behavior,"A student's tendency to be kind, considerate, helpful, and caring toward peers—including offering help, sharing, and showing concern for others' feelings"
Frameworks,knowledge and skills,Young Adult Success,"Knowledge is the sets of facts, information, or understanding about oneself, others, and the world. Skills are the learned abilities to carry out a task with intended results or goals. Building academic knowledge and skills is a key developmental task during early and middle childhood, although it occurs through all stages of development.",
Frameworks,leadership,Pratham Life Skills Framework,initiative innovation vision leading by example doing the right thing/making the right choice,
GPT 5.2 Thinking,Learning from Feedback and Mistakes,Learning with Reasoning and Abstraction,using errors and feedback to improve understanding and performance,"Learning from feedback and mistakes reflects a student’s ability to reflect on errors, adjust strategies, and improve over time. It includes noticing patterns in mistakes and applying feedback to new tasks. Difficulty may show as repeating the same errors, avoiding review of mistakes, or viewing errors as personal failure rather than information for growth."
Claude Opus 4.5,Learning New Concepts,Learning and Academics,Acquiring and integrating new information,"The student's general ability to understand, retain, and make use of new information and skills presented in instruction."
FACETS,Learning Strategies,Learning with Reasoning and Abstraction,adopting and developing strategies for learning new material,"Learning strategies are the full spectrum of creative, flexible approaches and tools for the acquisition of new knowledge. It includes all facets of learning in school and extra-curricular settings, as well as how one approaches learning life skills at home and in the community (e.g., music, dance, sports, game playing, cooking, cleaning, community social functions, riding bicycles, magic tricks, etc.) For skillful adaptation, effective and efficient learning strategies must vary with development, experience, and the nature of the learning task. Examples of learning strategies include changing oral tasks into written tasks, breaking large problems into a sequence of small problems, etc."
GPT 5.2 Thinking,Listening Comprehension,Receptive Communication,understanding spoken information during lessons and discussions,"Listening comprehension reflects how well a student understands spoken language in real time, such as teacher explanations, peer comments, and classroom discussions. Strong skills include identifying main ideas and relevant details and responding appropriately. Difficulty may appear as confusion after oral instructions, off-topic responses, or needing information repeated even when attention appears adequate."
Frameworks,manages time,Employability Skills,Student demonstrates time management when organizing and planning project activities with a team or when organizing and managing themselves and individual class assignments and homework. Time management is inherent in almost all assignments.,
FACETS,Mathematics,Academic Skills and School Functioning,cognitively and mechanically performing arithmetic operations,"Math, or arithmetic, is the ability to manage numerical and/or quantitative ideas, both conceptually and in graphical representations. Mathematical skills evolve over time, beginning using numbers for the concrete counting of objects, evolving into the appreciation that numbers can representing various constructs such as quantity, time, space, etc. Success with math can be confounded by writing difficulty as “imprecise” presentation of numbers leads to errors."
FACETS,Memory/Recall,Organization & Planning,expending effort and employing strategies for remembering and recalling,"Memory is a complex biological function that allows for the brain to store and recall factual information and related emotional and other factors that are linked to the facts. There are multiple forms of memory to account for different uses of the stored information. Short-term memory is for the management of information that is needed temporarily to complete a brief task. For intermediate level activities, information from short-term memory is transferred to working memory for more extended task completion. Long-term memory is information that may be used again and again and/or over extended periods of time. The durability of a particular memory depends a great deal on the importance of that which is being remembered, the linkages of that memory to other important factors (i.e., emotions, location, sensory associations, other memories, etc.), repetition of the memory over the course of time, and distractions or disruptions when the memory is being stored."
Frameworks,mindfulness,IRC Social and Emotional Learning Competencies,"Mindfulness is cross-cutting throughout IRC’s approach to SEL, addressing skills in all five competencies. Mindfulness is defined as: the state of being aware and focused on the present moment; accepting the present while being open and curious about what is happening around and inside us. Students learn the benefits of mindfulness for reducing feelings of anxiety and stress, focusing their attention and learning to persevere through hardship.",
Frameworks,modesty,ACT Holistic Framework,"Being humble about achievements, presenting a realistic view of himself or herself, and avoiding boasting or acting superior to others",
Clinical scales,Mood and Happiness,Emotional Well-Being,General emotional state and outlook,"The student's typical emotional tone, including general cheerfulness, contentment, and capacity for enjoyment in daily activities"
FACETS,Morning Routine,Behavior Control and Regulation,being ready when arriving at school,"Most people have a set of behaviors or actions for the beginning of each day that generally follow in a usual order and are designed to complete necessary tasks in preparation for the day’s activities. They begin with arising with sufficient time to avoid being late for the start of school, work or other daytime obligations; routines may include activities such as toileting, hygiene, dressing appropriately, eating, gathering one’s necessary belongings, and departing in a timely fashion so as to arrive at the first appointment of the day. Typically these routines are well-established so that they occur relatively automatically, obviating the need for detailed thinking about each task. In some cases, the individual does some preparation the evening before, in order to assure prompt completion of morning routines."
Frameworks,negotiates to resolve conflict,Employability Skills,"Student keeps team members on track, suggests alternatives, and discusses options (can be as much about agreement as conflict).",
Clinical scales,New Situations,Adaptability,Handling unfamiliar experiences,"The student's comfort level and ability to cope when facing new people, places, activities, or challenges."
Frameworks,observes carefully,Employability Skills,Student interprets verbal and nonverbal communication efforts of others.,
FACETS,Obsessive Thoughts,Emotional Expression,managing recurring thoughts or ideas,"Sustained, recurring, goal-directed thoughts or ideas assist in focussing attention and activity in support of completing a task. In addition to helping sustain attention or focus, revisiting the thought or idea supports problem-solving or re-working options necessary to achieve a goal. When these thoughts are persistent and intrusive, they interfere with social, behavioral, and/or cognitive function. Persistent thoughts may include perseveration on specific or irrelevant topics, numbers, words, sounds, or tasks."
Frameworks,open-minded,IB Learner Profile,"We critically appreciate our own cultures and personal histories, as well as the values and traditions of others. We seek and evaluate a range of points of view, and we are willing to grow from the experience.",
Frameworks,patience,ACT Holistic Framework,Tolerating frustrations presented by others or by situations without expressing irritation or hostility,
FACETS,Perseverance,Disposition,persisting when undertaking tasks,"Perseverance is the ability to keep working on tasks, even in the face of obstacles such as distractions, difficulties, and delays. Determination and commitment to acquiring knowledge and skills is a powerful force for most youth, however, it requires the ability to stay focused on a task and continue working, even in the face of interference and disruptions."
GPT 5.2 Thinking,Personal Goals,Sense of Self,identifying personal goals and reflecting on progress over time,"Personal goals refer to a student’s ability to set age-appropriate goals (academic, social, or personal) and reflect on progress. Goal setting can support motivation and self-direction when goals are realistic and supported. Difficulty may show as inability to identify goals, goals that are unrealistic, or limited reflection on what helped or hindered progress."
Clinical scales,Physical Complaints,Physical Well-Being,Reports of bodily discomfort,"The frequency of the student's complaints about headaches, stomachaches, or other physical symptoms without clear medical cause"
Claude Opus 4.5,Physical Conduct,Behavior,Appropriateness of physical actions,The extent to which a student's physical behavior toward others and property is safe
Clinical scales,Physical Restlessness,Activity Level and Self-Control,Difficulty staying still or seated,"Observable patterns of fidgeting, squirming, leaving seat, or excessive movement in situations requiring calm and stillness"
FACETS,Physically Harms Self,Behavior Control and Regulation,causing injury to self,"Persistent thoughts of self-harm, especially thoughts that lead to actions causing harm, are always problematic, and usually require urgent attention. Self-harm may or may not have suicidal intent, although the risk for suicidal behavior is increased in the presence of self-harm. In moments of despair or incredible anger, typical individuals may rarely have thoughts of self-harm. However, these thoughts are readily recognized as inappropriate and quickly managed without any action directed toward self-harm."
FACETS,Physically or Emotionally Harms Others,Behavior Control and Regulation,causing physical or emotional harm to other persons,"Persistent thoughts of harm to others, especially those that lead to actions that cause harm are always problematic, and usually require urgent attention. Harm to others may also include emotional harm. Ideas about harming others usually has no homicidal intent, however, these wishes to cause physical or emotional harm to others may lead to serious consequences. As a result, in the presence of these thoughts, careful evaluations are necessary, and targets of the harmful thoughts (e.g., animals, children, other adults) should be protected until the potential threat has passed."
FACETS,Planning and Organization,Organization & Planning,developing plans to complete tasks,"Planning and organization, often referred to as “executive functions,” make it possible to allocate cognitive and other resources to successfully sequence and complete tasks. Planning and organization are learned skills that require the appropriate application of attention, cognitive ability, and memoryin order to create and sustain a plan. This includes both short-term and long-term planning for projects, assignments, and other activities. It also includes the monitoring of these processes and plans in order to assure progress toward the desired goal. While younger children have difficulty with executive functions due to a limited concept of time, with maturity, it is possible to manage more and multiple complex tasks, with intermixed goals and objectives."
FACETS,Play,Interacting with Others,playing well alone and with others,"Play is a complex set of behaviors, largely for the purpose of enjoyment, but may also provide a tool for experimentation and problem-solving in a safe or non-competitive environment. Play activities include social and imaginary use of objects and relationships as well as opportunities to practice a full spectrum of social skills, behavioral control, problem solving and much more. The complexity and function of play develops along with the development of cognitive and motor function, routines and habits, knowledge and skills, and much more. Play takes place in individual and social contexts. It may include games and toys, as well as tools and tasks typically a part of daily work (e.g., pencils, cooking utensils, sports equipment, etc.). While these playful interactions may seem to be of little purpose, they are actually serious attempts at mastery, role-playing, and practice that sets the stage for real-life skills and activities. This actual nature of the practice varies as a result of a variety of factors including context, social relationships, and developmental age."
Frameworks,purpose,Character Lab,Having a purpose means being driven by something larger than yourself.,
FACETS,Reading,Academic Skills and School Functioning,cognitive and mechanical elements of reading comprehension,"Reading is the ability to decode written symbols for purposes of communication and learning. While reading most commonly focuses on symbols referred to as “letters” or “characters” from alphabets, in fact, decoding any symbols is a form of reading, including symbols such as logos, flags, and other devices. Reading most languages requires understanding of components of writing include grammar, syntax, punctuation, sentences, paragraphs etc."
Frameworks,reasoning and problem solving,Sesame Workshop Global Framework for Learning,"Make connections. Children learn to process information, connect related information and prior knowledge, and then complete a task or solve a problem (e.g., our shoes are dirty so we need to wipe them on the mat before going indoors). Recognize cause and effect relationships. Children learn to recognize when one thing makes another thing happen (e.g., poking a bubble will make it pop). Compare, contrast, and sort. Children learn more about things by observing how certain characteristics are similar or different (e.g., color, shape, size, texture, or sound), and they classify, match, and sort objects based on those characteristics (e.g., putting all the blue objects into one group). Consider and choose from multiple solutions or options. Children learn to investigate multiple solutions or options to solve a problem. They think critically about each one and evaluate it, then choose the most appropriate or effective solution. Evaluate their choice. Children learn to reflect on the solution or decision they made and decide whether or not it was successful. If it was not the best choice, they may go back and try another option.",
FACETS,Receptive Language,Receptive Communication,recognizing and understanding words and gestures as communication,"Receptive language is the capacity to comprehend verbal and non-verbal messages provided by others in the environment. It requires the ability to appreciate the nuances of communication (e.g., gesture, body posture, rhythm, volume, vocabulary, prosody, tone, etc.); each of these elements enhance the effectiveness and comprehension of communicative intent. In order to receive communication, the individual must attend to the critical elements of language, as well as the ability to focus on and interpret communication directed specifically at the individual, as well as more broadly with the environment. These skills grow in complexity over the course of the lifespan, however, there is considerable variability amongst individuals that depends on their biological make-up, cognitive ability, culture, and social experience."
Frameworks,reflection,Clover Model,"Reflection describes the need to create and make meaning. It involves making sense of one’s own experiences, emotions and thoughts to create a sense of personal identity. Humans are conscious creatures; in fact, many philosophers have argued that the ability to reflect and take perspective is what makes humans unique.",
Frameworks,relationship skills,Building Blocks for Learning,"The ability to establish and maintain healthy and rewarding relationships with diverse individuals and groups. This includes communicating clearly, listening actively, cooperating, resisting inappropriate social pressure, negotiating conflict constructively and seeking and offering help when needed.",
Frameworks,resilience,The PRACTICE Model,"Resilience has been defined as the ability to “bounce back” from adversity and thrive in the context of risk. Resilience refers to a pattern over time that is characterized by good eventual adaptation despite risk, stressors, or adversity. It also is defined by the ability to appropriately and realistically connect future goals and opportunities to one’s own abilities, and to adapt as needed to situational constraints. Resilient individuals cope well with stressors and do not get derailed by stressful events but persist and remain optimistic. Although there are individual differences in stress tolerance, resilience generally is a learned process that is facilitated through positive and supportive interactions with the environment. Conscientiousness and low Neuroticism are two of the Big Five traits that align with resilience, along with Grit, but it is the expression of these traits under difficult circumstances that is the defining feature of resilience.",
Frameworks,resistance skills,Developmental Assets (ages 12-18),Young person can resist negative peer pressure and dangerous situations.,
Frameworks,respect,Singapore Framework for 21CC and Student Outcomes,A person demonstrates respect when he believes in his own self-worth and the intrinsic worth of all people.,
