Items,Sources,Brief Descriptions,Descriptions
"Attention/Concentration, Attention, Concentration, Task Focus, Sustained Focus, Distractibility (2), cognitive and impulse control, child maintains focus and sustains attention with minimal adult support, Listening, emotions prioritize thinking by directing attention to important information","FACETS (Organization & Planning), Clinical scales (Attention and Focus), Clinical scales (Attention & Focus), Claude Opus 4.5 (Attention and Focus), Claude Opus 4.5 (Attention and Focus), Clinical scales (Attention and Focus), Claude Opus 4.5 (Attention and Focus), Frameworks (Social, Emotional, and Ethical (SEE) Learning Framework), Frameworks (Head Start), Claude Opus 4.5 (Attention), Frameworks (Emotional Intelligence)","sustaining attention and concentration///Ability to concentrate and maintain focus on tasks///Ability to maintain focus on tasks///Ability to concentrate on activities///Maintaining attention on tasks///Susceptibility to losing focus///Susceptibility to off-task behavior///Sustain attention on an object, task, or experience, avoiding distraction.///Child maintains focus and sustains attention with minimal adult support///Attentiveness during instruction///Emotions prioritize thinking by directing attention to important information","Attention is the ability to focus interests, cognition, emotions and/or other resources on a particular object, goal, idea, effort, activity, etc. Attention and concentration are cognitive processes that allow for the selection and focus on a particular task or object (including goals, ideas, etc.) for some period of time. It is usually easier to pay attention when there is strong interest, feeling or commitment to a particular topic or goal. Concentration and attention can vary by environment and other concomitant obligations. Most children and adults can maintain concentration on an important topic for 30-40 minutes. Attention and concentration often require active avoidance of distraction. Failure to maintain attention often leads to mistakes and interruptions in important tasks.///The student's capacity to direct and sustain mental effort on activities, including listening, following instructions, and staying on task despite distractions///The degree to which a student can sustain mental effort and attention on academic tasks, conversations, and activities without losing track of what they are doing///The degree to which a student can direct and maintain their mental effort on classroom tasks, assignments, and instruction without losing track of what they are doing.///The degree to which a student can maintain attention on a task or activity for an age-appropriate duration without external prompts or redirection.///The degree to which the student is drawn away from tasks by unrelated stimuli, thoughts, or events in the environment.///How easily the student's attention is pulled away from the current task by environmental stimuli, internal thoughts, or peer activity./////////The extent to which a student attends to verbal information from teachers or peers during lessons and conversations.///"
"belonging, connection, sense of belonging, national and cultural identity, civic identity, child has sense of belonging to family, community, and other groups","Frameworks (Clover Model), Frameworks (The Five Cs Model of Positive Youth Development), Frameworks (Building Blocks for Learning), Frameworks (Singapore Framework for 21CC and Student Outcomes), Frameworks (Building Blocks for Learning), Frameworks (Head Start)","Belonging is about building strong relationships with peers and adults, group acceptance and group identity. The need for belonging is central to our early development in our attachment to our caregivers and continues throughout our lives in a variety of ways. Humans are social creatures, and group belonging is essential for well-being and survival.///Positive bonds with people and institutions that are reflected in exchanges between the individual and his or her peers, family, school, and community and in which both parties contribute to the relationship///A sense that one has a rightful place in a given academic setting and can claim full membership in a classroom community.///A person with a national and cultural identity, (1) possesses a sense of responsibility to the nation; and (2) has a shared commitment to the ideals of the nation and its culture///A multifaceted and dynamic notion of the self as belonging to and responsible for a community or communities.///Child has sense of belonging to family, community, and other groups.",///////////////
Bullying,FACETS (Interacting with Others),involvement as victim perpetrator or encouraging observer,"Bullying, the most common form of interpersonal violence, is a recurrent pattern of behavior that takes place when one individual takes advantage of a power differential to cause physical or emotional harm to another. Participants in bullying may be victims, perpetrators, and victim-perpetrators, as well as active and passive by-standers/observers. Each of those involved in bullying can suffer adverse consequences from the experience."
"Class Participation, participation (2), listens actively","Clinical scales (Academic Engagement), Frameworks (UNICEF India Comprehensive Life Skills Framework), Claude Opus 4.5 (Academic Engagement), Frameworks (Employability Skills)","Engagement in learning///Ability to contribute actively to processes and situations, influencing decisions and activities///Active involvement in learning activities///Student is noticeably engaged through notetaking, questioning, and responding.","The student's active involvement in classroom discussions, activities, and learning opportunities.//////The extent to which a student voluntarily contributes to discussions///"
"Classroom Comfort, Sense of Safety","GPT 5.2 Thinking (School Belonging and Connectedness), GPT 5.2 Thinking (Emotional Well-Being)",feeling comfortable participating and being oneself in class///feeling safe and secure in the classroom and school environment,"Classroom comfort reflects how safe and comfortable a student feels engaging in class activities, sharing ideas, and making mistakes in front of others. High comfort supports participation and learning risk-taking. Low comfort may show as reluctance to speak, fear of embarrassment, or avoidance of activities that draw attention, even when the student understands the material.///Sense of safety reflects a student’s perception that school is a predictable, supportive place where they can learn without fear of harm, humiliation, or exclusion. When students feel safe, they are more likely to participate, take academic risks, and seek help. Low sense of safety may show as being on edge, withdrawal, reluctance to participate, or frequent worry about peers or adults."
"collaborate with others, cooperation (3), cooperation and teamwork, communication and collaboration, work creatively with others, Collaboration (2), thinking interdependently, collaboration/konbit, teamwork, collaborative problem solving, understands teamwork and works with others, teamwork and collaboration, communicators, respects individual differences, work effectively in diverse teams, understands and uses systems","Frameworks (21st Century Learning), Frameworks (UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework), Claude Opus 4.5 (Social Functioning), Clinical scales (Prosocial Behavior), Frameworks (WHO Skills for Health), Frameworks (Kenya BECF Core Competencies for Basic Education), Frameworks (21st Century Learning), Gemini 3 Pro (Interacting with Others), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework), Frameworks (Habits of Mind), Frameworks (Vision of the Haitian Child in Society: Social Emotional Framework), Frameworks (The PRACTICE Model), Frameworks (ACT Holistic Framework), Frameworks (Employability Skills), Frameworks (Hilton & Pellegrino Clusters of 21st Century Competencies), Frameworks (IB Learner Profile), Frameworks (Employability Skills), Frameworks (21st Century Learning), Frameworks (Employability Skills)","Demonstrate ability to work effectively and respectfully with diverse teams; Exercise flexibility and willingness to be helpful in making necessary compromises to accomplish a common goal; Assume shared responsibility for collaborative work, and value the individual contributions made by each team member///Cooperation, i.e., for an individual being cooperative and acting cooperatively, is the act or process of working together to get something done or to achieve a common purpose that is mutually beneficial (Tyler 2011). It can involve teamwork and active collaboration, which is a form of cooperation and is often used as a synonym. Cooperation is central to many activities in the everyday world encountered by children, youth and all learners in school, at home, at work, in the community, and at national and regional levels. Because cooperation is useful for problem solving and forms the basis for healthy social relationships, it is a core life skill directly related to family, social and political conflict management and resolution in MENA.///Working with others///Working well with others///expressing respect for others’ contributions and different styles assessing one’s own abilities and contributing to the group///Communication is the act of transferring information from one place to another, whether vocally, visually, or non-verbally. The discipline of communication focuses on how people use messages to generate meanings within and across various contexts, cultures, channels, and media. The discipline promotes the effective and ethical practice of human communication. Collaboration is the process of two or more people or organizations working together to realize shared goals. Collaboration may require leadership, although this can be social within decentralized or egalitarian groups or teams that work collaboratively in relation to gaining greater resources, recognition and motivation.///Develop, implement and communicate new ideas to others effectively; Be open and responsive to new and diverse perspectives; incorporate group input and feedback into the work; Demonstrate originality and inventiveness in work and understand the real world limits to adopting new ideas; View failure as an opportunity to learn; understand that creativity and innovation is a long-term, cyclical process of small successes and frequent mistakes///working effectively with others///Students are able to work with others to produce something.///Human beings are social beings. We congregate in groups, find it therapeutic to be listened to, draw energy from one another, and seek reciprocity. In groups we contribute our time and energy to tasks that we would quickly tire of when working alone. In fact, we have learned that one of the cruelest forms of punishment that can be inflicted on an individual is solitary confinement. Cooperative humans realize that all of us together are more powerful, intellectually and/or physically, than any one individual. Probably the foremost disposition in the post industrial society is the heightened ability to think in concert with others; to find ourselves increasingly more interdependent and sensitive to the needs of others. Problem solving has become so complex that no one person can go it alone. No one has access to all the data needed to make critical decisions; no one person can consider as many alternatives as several people can. Some students may not have learned to work in groups; they have underdeveloped social skills. They feel isolated, they prefer their solitude. ""Leave me alone--I'll do it by my self"". "" They just don't like me"". ""I want to be alone."" Some students seem unable to contribute to group work either by being a ""job hog"" or conversely, letting others do all the work. Working in groups requires the ability to justify ideas and to test the feasibility of solution strategies on others. It also requires the development of a willingness and openness to accept the feedback from a critical friend. Through this interaction the group and the individual continue to grow. Listening, consensus seeking, giving up an idea to work with someone else's, empathy, compassion, group leadership, knowing how to support group efforts, altruism--all are behaviors indicative of cooperative human beings.///Social Engagment Teamwork Compromise/conflict resolution Understand/navigate social norms Engage school, family, community supports///Teamwork refers broadly to a set of skills involved in getting along with others, understanding their feelings and points of view, communicating effectively, being helpful and agreeable, and not engaging in aggressive or bullying behaviors. In the social-emotional domain it has been defined more regularly as “relationship skills” that enable individuals to get along with and work effectively with others, including people from diverse cultures. Teamwork is highest among individuals who score high on personality traits of Extraversion and Agreeableness.///Contributing to group problem-solving processes///Student participates in cooperative groups or with a partner, contributes fairly to the task, and shows respect to others.///Communication, collaboration, teamwork, cooperation, coordination, interpersonal skills, empathy/perspective taking, trust, service orientation, conflict resolution, negotiation///We express ourselves confidently and creatively in more than one language and in many ways. We collaborate effectively, listening carefully to the perspectives of other individuals and groups.///Student listens to and considers all team members' ideas, responds supportively to ideas given in class or in teams, and works well with all teammates.///Respect cultural differences and work effectively with people from a range of social and cultural backgrounds; Respond open-mindedly to different ideas and values; Leverage social and cultural differences to create new ideas and increase both innovation and quality of work///Student understands their roles and assignments when collaborating as a team (system) and contributes to the organizational structure and function of the team.","//////The student's ability and willingness to collaborate, share, take turns, and work toward common goals with peers during group activities.///The student's ability to collaborate, share, take turns, and work productively as part of a group////////////Collaboration is the action of working with one or more people to produce or create something. In a school setting, this involves contributing ideas to a group, listening to others, sharing responsibilities, and working towards a shared goal. It requires a balance of leadership and followership skills./////////////////////////////////"
"Compliance, Following Rules, Rule-Following (4), rule consciousness, Following Directions (2), Rule Understanding, child follows classroom rules and routines with increasing independence","FACETS (Behavior Control and Regulation), Clinical scales (Conduct & Behavior), Clinical scales (Behavior and Conduct), Claude Opus 4.5 (Behavior), Claude Opus 4.5 (Behavioral Control), Clinical scales (Behavior), Frameworks (ACT Holistic Framework), Claude Opus 4.5 (Attention and Focus), GPT 5.2 Thinking (Receptive Communication), GPT 5.2 Thinking (Behavior Control and Regulation), Frameworks (Head Start)",following rules and instructions adaptively///Compliance with expectations///Compliance with expectations and boundaries///Adherence to classroom and school expectations///Adherence to expectations///Adhering to expectations///Following rules and procedures and complying with authority///Ability to listen to and carry out instructions///understanding and carrying out spoken or written directions///understanding and remembering classroom and school rules///Child follows classroom rules and routines with increasing independence,"Compliance is adherence to rules or directions, consistent with the setting or environment (e.g., school, work, home, etc.) in order to achieve goals and objectives.///The degree to which a student follows classroom rules, adult instructions, and behavioral expectations at school without frequent reminders or resistance///The student's tendency to follow rules, respect authority, and comply with reasonable expectations from adults///The extent to which a student complies with established classroom rules///The degree to which the student complies with classroom rules, school policies, and adult directives with or without direct supervision.///The student's willingness and ability to follow classroom rules, school expectations, and adult directions.//////The student's capacity to attend to verbal or written instructions and execute them accurately, including multi-step directions.///Following directions refers to understanding what is being asked and carrying it out accurately. This may include listening, remembering key steps, and asking clarifying questions. Difficulty may show as starting the wrong task, missing steps, needing repeated directions, or appearing noncompliant when the core issue is misunderstanding.///Rule understanding refers to how well a student comprehends, remembers, and can explain the expectations in different settings (classroom, hallway, cafeteria, playground). A student may know the rules but still have difficulty following them consistently; this subcategory focuses on understanding and recall of expectations. Gaps may show as frequent confusion about procedures or repeated questions about basic rules.///"
"Conflict with Others, Handling Disagreements","Clinical scales (Behavior), GPT 5.2 Thinking (Interpersonal Conduct)",Arguments and disagreements///staying respectful during disagreements and accepting different opinions,"The frequency and intensity of verbal or physical conflicts, arguments, or hostile interactions with peers or adults.///Handling disagreements describes how a student maintains respect when opinions differ. It includes using a calm tone, disagreeing without personal attacks, and tolerating that others may think differently. Difficulty may show as personal insults, refusal to engage, sarcasm aimed at peers, or escalating debates into conflict."
"Coping Strategies, Coping Skills","Claude Opus 4.5 (Worry and Stress), GPT 5.2 Thinking (Emotional Expression)",Methods for managing stress///using strategies to calm down and manage strong feelings,"The approaches the student uses to handle stressful situations, including whether strategies are effective and appropriate.///Coping skills are the tools a student uses to manage stress and strong emotions (e.g., taking a break appropriately, using calming breathing, using words to ask for support, or using self-talk). Effective coping supports learning and relationships. Limited coping may show as becoming stuck in strong emotions, relying only on adult intervention, or using ineffective strategies that disrupt class."
"Creativity (2), creativity and imagination, creative thinking, creative skills, thinks creatively, creating, imagining, and innovating, think creatively, child expresses creativity in thinking and communication, innovation, child uses imagination in play and interactions with others","FACETS (Learning with Reasoning and Abstraction), Frameworks (UNICEF India Comprehensive Life Skills Framework), Frameworks (Kenya BECF Core Competencies for Basic Education), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework), Frameworks (LEGO&#x27;s Skills for Holistic Development), Frameworks (Employability Skills), Frameworks (Habits of Mind), Frameworks (21st Century Learning), Frameworks (Head Start), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework), Frameworks (Head Start)","applying novel strategies to problem-solving///Ability to generate, articulate and/apply inventive & original ideas, techniques and perspectives///Creativity and imagination refers to the ability to form new images and sensations in the mind, and to turn them into reality(British Council, 2016). It is the ability to imagine things that are not real, to form pictures in the mind of things that one has not seen or experienced, and turn those pictures into real things. It also refers to the act or power of forming mental images of things that are not present to the senses, or that are never wholly perceived in reality, and creating physical representations of those images.///Students are able to look at problems or situations from a fresh perspective that aid in finding sustainable solutions. The ability to generate, articulate or apply inventive ideas, techniques or perspectives. Closely relates to critical thinking and problem solving skills.///Coming up with ideas, expressing them and transforming them into reality by creating associations, symbolising and representing ideas and providing meaningful experiences for others.///Student creates innovative and novel ideas/solutions and display divergent thinking. This can be seen in oral presentations and creative writing assignments, open-ended tasks, and project design.///All human beings have the capacity to generate novel, original, clever or ingenious products, solutions, and techniques—if that capacity is developed. Creative human beings try to conceive problem solutions differently, examining alternative possibilities from many angles. They tend to project themselves into different roles using analogies, starting with a vision and working backward, imagining they are the objects being considered. Creative people take risks and frequently push the boundaries of their perceived limits (Perkins 1985). They are intrinsically rather than extrinsically motivated, working on the task because of the aesthetic challenge rather than the material rewards. Creative people are open to criticism. They hold up their products for others to judge and seek feedback in an ever-increasing effort to refine their technique. They are uneasy with the status quo. They constantly strive for greater fluency, elaboration, novelty, parsimony, simplicity, craftsmanship, perfection, beauty, harmony, and balance.///Use a wide range of idea creation techniques (such as brainstorming); Create new and worthwhile ideas (both incremental and radical concepts); Elaborate, refine, analyze and evaluate their own ideas in order to improve and maximize creative efforts///Child expresses creativity in thinking and communication///Students are able to create something new or devise a new method of doing things///Child uses imagination in play and interactions with others","Creativity is the ability to see beyond traditionals constraints and rules, and to allow imagination as well as novel and unique ideas to help solve new problems, offer alternative solutions to existing tasks or problems, and provide unique perspectives on the many aspects of our daily lives.//////////////////////////////"
"critical thinking and problem solving, creative problem-solving, problem solving (4), critical thinking, cognitive processes and strategies, cognitive skills, critical and analytical thinking, solve problems, Problem-Solving Approach, critical thinking/independence, decision-making / problem-solving skills, critical thought, higher order thinking skills, reasons, thinks critically, analyzes, thinkers, solves problems, critical thinking skills, uses, access and evaluate information, make judgments and decisions","Frameworks (Kenya BECF Core Competencies for Basic Education), Frameworks (Room to Read Life Skills Education Learning Outcomes), Frameworks (Pratham Life Skills Framework), Clinical scales (Independence), Frameworks (UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework), GPT 5.2 Thinking (Learning with Reasoning and Abstraction), Frameworks (UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework), Frameworks (Hilton & Pellegrino Clusters of 21st Century Competencies), Frameworks (LEGO&#x27;s Skills for Holistic Development), Frameworks (K-3 SEL Standards (Connecticut)), Frameworks (21st Century Learning), Claude Opus 4.5 (Adaptability), Frameworks (OECD), Frameworks (WHO Skills for Health), Frameworks (Vision of the Haitian Child in Society: Social Emotional Framework), Frameworks (USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes), Frameworks (Employability Skills), Frameworks (Employability Skills), Frameworks (Employability Skills), Frameworks (IB Learner Profile), Frameworks (Employability Skills), Frameworks (WHO Skills for Health), Frameworks (Employability Skills), Frameworks (21st Century Learning), Frameworks (21st Century Learning)","An important outcome of quality education is teaching learners how to think critically. The British Council (2015) identifies three types of thinking: reasoning, making judgements, and problem solving. It is possible for learners to reason in an uncritical way. When learners are empowered with critical thinking, they avoid being subjective, and use logic and evidence to arrive at conclusions. Critical thinking also facilitates exploring new ways of doing things and learner autonomy. Learners learn that for every issue there are multiple perspectives that they can explore, rather than a rigid recall and regurgitation of information.///Girls can identify 2-3 steps that can be taken to solve a problem creatively or resolve a conflict. When girls are dealing with a problem or conflict situation they are able to be creative and choose an alternative plan or resolution. Girls demonstrate how to creatively manage conflicts and solve problems when working with peers.///creative thinking logical thinking critical thinking decision making decision making under challenging situations///Figuring things out///A problem-solver has the ability to “think through steps that lead from a given state of affairs to a desired goal” (Barbey and Baralou, 2009). Another essential aspect of purposeful thinking, problem-solving is a high-order thinking process inter-related with other important life skills, such as critical thinking, analytical thinking, decision-making and creativity. More specifically, being able to solve problems implies a process of planning, i.e., the formulation of a method to attain the desired goal. Problem-solving begins with recognizing that a problematic situation exists and establishing an understanding of the nature of the situation. It requires the solver to identify the specific problem(s) to be solved, plan and carry out a solution, and monitor and evaluate progress throughout the activity (OECD, 2015).///generating solutions and trying different approaches when stuck///Critical thinking, an instrumental life skill conducive to academic achievement, is a long-standing life skill, which allows ‘reflective thinking’: By thinking critically, children, youth and all individuals who learn to assess situations and assumptions, ask questions and develop various ways of thinking. Therefore, critical thinking involves higher-order executive functioning: This is a ‘meta-skill’ through which one learns to think about thinking and develop purposeful thinking processes, such as being able to discern and evaluate whether an argument makes sense or not.///Critical thinking, problem solving, analysis, reasoning/argumentation, interpretation, decision making, adaptive learning, executive function///Concentration, problem solving and flexible thinking by learning to tackle complex tasks and building effective strategies to identify solutions.///Full set of indicators in framework.///Solve different kinds of non-familiar problems in both conventional and innovative ways; Identify and ask significant questions that clarify various points of view and lead to better solutions///Tackling challenges///The ability to evaluate information and interpret it through independent and unconstrained analysis.///information-gathering skills evaluating future consequences of present actions for self and others-determining alternative solutions to problems analysis skills regarding the influence of values and of attitudes about self and others on motivation///Engendering curiosity & questions Analysis Using the Five Senses Descriptive Vocabulary Emphasizing process and not just the ""correct"" answer Problem Solving Making Decision///Higher order thinkingskills include problem solving, criticalthinking, and decision making. They refer to the “ability to identify an issue and take in information from multiple sources to evaluate options in order to reach a reasonable conclusion” (Lippman et al., 2015). Higher order thinkingis sought by employers and is critical for workforce success. Higher order thinking skills also garnered considerable support from the literature as important skills in the prevention of youth violence. Important higher order thinking skills for violence prevention often include accurately interpreting others’ behaviors and using non-aggressive problem solving strategies. When higher order thinking skills are included in studies, the findings are generally positive and consistent. However, research on discrete higher order thinking skills is not as prevalent as the research on self-control, social skills, and empathy.///Student negotiates pros/cons of ideas, approaches, and solutions and analyzes options using ""if-then"" rationale.///Student displays analytical and strategic thinking. This can be seen in debating an issue, converging on an understanding, assessing a problem, and questioning (playing devil's advocate).///Student assesses information to determine which is relevant (does not have to be a mathematical analysis).///We use critical and creative thinking skills to analyse and take responsible action on complex problems. We exercise initiative in making reasoned, ethical decisions.///Student assesses problems involving the use of available resources (personnel and materials) and reviews multiple strategies for resolving problems (could be linked to thinking creatively).///analysing peer and media influences analysing attitudes, values, social norms, beliefs, and factors affecting them identifying relevant information and sources of information///Student uses classification and analytic skills to determine the necessary information (i.e., stay on target) to complete task.///Access information efficiently (time) and effectively (sources); Evaluate information critically and competently///Effectively analyze and evaluate evidence, arguments, claims and beliefs; Analyze and evaluate major alternative points of view; Synthesize and make connections between information and arguments; Interpret information and draw conclusions based on the best analysis; Reflect critically on learning experiences and processes","/////////The student's ability to identify problems, generate solutions, and work through challenges with increasing autonomy.//////Problem solving is the ability to identify a problem, consider options, and try strategies to reach a goal. In school, it may involve troubleshooting mistakes, figuring out how to start an assignment, or resolving practical classroom problems. Difficulty may appear as getting stuck quickly, repeating the same ineffective strategy, or relying on adults for solutions even when options are available.//////////////////The strategies the student employs when facing obstacles, including flexibility in trying different approaches versus becoming stuck.///////////////////////////////////////"
"curiosity (5), child shows interest in and curiosity about the world around them, inquirers","Frameworks (ACT Holistic Framework), Claude Opus 4.5 (Academic Engagement), Gemini 3 Pro (Academic Skills and School Functioning), GPT 5.2 Thinking (Disposition), Frameworks (Building Blocks for Learning), Frameworks (Head Start), Frameworks (IB Learner Profile)","Seeking out information to better understand a wide range of topic areas and/or obtaining a depth of understanding in one topic area that goes beyond what is required///Interest in learning and discovery///desire to learn and explore///showing interest in new ideas and seeking to understand///The desire to engage and understand the world, interest in a wide variety of things and preference for a complete understanding of a complex topic or problem.///Child shows interest in and curiosity about the world around them///We nurture our curiosity, developing skills for inquiry and research. We know how to learn independently and with others. We learn with enthusiasm and sustain our love of learning throughout life.","///The degree to which a student demonstrates genuine interest///Curiosity is a strong desire to know or learn something. In the classroom, it is demonstrated by asking questions that go beyond the basic requirements, exploring topics of interest independently, and showing genuine engagement with new material. Curiosity drives deep learning and intrinsic motivation.///Curiosity is a student’s tendency to explore, ask questions, and show interest in learning new information. It can support engagement, deeper understanding, and creativity. Low curiosity may look like limited questioning, reluctance to explore unfamiliar topics, or a preference for only familiar tasks and routines./////////"
