Framework,Term,Definition
21st Century Learning,manage goals and time,Set goals with tangible and intangible success criteria; Balance tactical (short-term) and strategic (long-term) goals; Utilize time and manage workload efficiently
21st Century Learning,work independently,"Monitor, define, prioritize and complete tasks without direct oversight"
21st Century Learning,be self-directed learners,Go beyond basic mastery of skills and/or curriculum to explore and expand one’s own learning and opportunities to gain expertise; Demonstrate initiative to advance skill levels towards a professional level; Demonstrate commitment to learning as a lifelong process; Reflect critically on past experiences in order to inform future progress
21st Century Learning,interact effectively with others,"Know when it is appropriate to listen and when to speak; Conduct themselves in a respectable, professional manner"
21st Century Learning,work effectively in diverse teams,Respect cultural differences and work effectively with people from a range of social and cultural backgrounds; Respond open-mindedly to different ideas and values; Leverage social and cultural differences to create new ideas and increase both innovation and quality of work
21st Century Learning,manage projects,"Set and meet goals, even in the face of obstacles and competing pressures; Prioritize, plan and manage work to achieve the intended result"
21st Century Learning,produce results,"Demonstrate additional attributes associated with producing high quality products including the abilities to: Work positively and ethically, Manage time and projects effectively, Multi-task, Participate actively, as well as be reliable and punctual, Present oneself professionally and with proper etiquette, Collaborate and cooperate effectively with teams, Respect and appreciate team diversity, Be accountable for results"
21st Century Learning,guide and lead others,Use interpersonal and problem-solving skills to influence and guide others toward a goal; Leverage strengths of others to accomplish a common goal; Inspire others to reach their very best via example and selflessness; Demonstrate integrity and ethical behavior in using influence and power
21st Century Learning,be responsible to others,Act responsibly with the interests of the larger community in mind
ACT Holistic Framework,english language arts,Literacy skills related to comprehension and capacity for use of written and oral language
ACT Holistic Framework,mathematics,"Relating and transforming numeric and symbolic quantities, including applications to data sets, patterns, space, and change"
ACT Holistic Framework,science,"Gathering and interpreting observations, experimental data, and disciplinary content knowledge in order to predict and explain phenomena"
ACT Holistic Framework,collaborative problem solving,Contributing to group problem-solving processes
ACT Holistic Framework,studying and learning,"Using learning strategies to enhance comprehension, integration, and retention of learning"
ACT Holistic Framework,technology and information literacy,"Using technology to acquire, evaluate, transform, and share information"
ACT Holistic Framework,thinking and metacognition,Mastering modes of thinking that apply to broad classes of problems
ACT Holistic Framework,genuineness,"Being sincere and truthful in interactions, appropriately giving others credit, and acknowledging his or her mistakes"
ACT Holistic Framework,fairness,Acting in ways that are intended to be unbiased and fair to everyone
ACT Holistic Framework,modesty,"Being humble about achievements, presenting a realistic view of himself or herself, and avoiding boasting or acting superior to others"
ACT Holistic Framework,creativity,"Generating original ideas, using existing ideas or things in new ways, and having an active imagination"
ACT Holistic Framework,curiosity,Seeking out information to better understand a wide range of topic areas and/or obtaining a depth of understanding in one topic area that goes beyond what is required
ACT Holistic Framework,flexibility,Adapting to new environments and making adjustments to accommodate changes
ACT Holistic Framework,accepting differences,"Being open-minded and accepting of ideas, cultures, and ways of doing things that are different from his or her own"
ACT Holistic Framework,stress tolerance,The degree to which a person can control feelings of anxiety and other negative emotions in order to function effectively in a range of situations
ACT Holistic Framework,self-confidence,A tendency to be self-assured and to make decisions without needing a lot of input from others
ACT Holistic Framework,assertiveness,Influencing others and preferring to be in charge in social interactions and group activities
ACT Holistic Framework,optimism,The degree to which a person expresses a positive mood and a positive outlook
ACT Holistic Framework,sociability,Seeking out and enjoying situations involving interpersonal interaction and building relationships with others
ACT Holistic Framework,cooperation,"Being respectful, polite, collaborative, and skilled at working through conflict with other people"
ACT Holistic Framework,perspective taking,"Identifying, acknowledging, and understanding the emotions of others, showing concern for others, and considering the audience when providing information"
ACT Holistic Framework,goodwill,"Assuming others have good intentions, trusting others, being able to forgive and not holding grudges"
ACT Holistic Framework,helpfulness,Helping others and being generous with his or her time and/or resources despite personal cost
ACT Holistic Framework,patience,Tolerating frustrations presented by others or by situations without expressing irritation or hostility
ACT Holistic Framework,dependability,"Reliably fulfilling responsibilities, meeting deadlines, and producing quality work"
ACT Holistic Framework,order,"Planning and organizing tasks and materials, creating schedules, monitoring progress, and paying close attention to details"
ACT Holistic Framework,persistence,"Working hard, making progress on relevant tasks, and maintaining focus despite setbacks or difficulties"
ACT Holistic Framework,rule consciousness,Following rules and procedures and complying with authority
ACT Holistic Framework,goal striving,"Setting challenging goals, doing tasks without being told, and working to improve or learn new skills"
ACT Holistic Framework,self-control,Managing impulses and weighing the consequences of one’s behavior before acting
ACT Holistic Framework,awareness,"States of perceiving, feeling, or being conscious of oneself, education, work, and the gaps among them"
ACT Holistic Framework,personal attributes,"Relatively stable individual differences in characteristics that contribute to one’s thoughts, decisions, and behaviors"
ACT Holistic Framework,attitudes,"Stable evaluations of people, objects, events, activities, and ideas that are manifested as feelings, beliefs, or positions"
ACT Holistic Framework,expectations,"Anticipatory beliefs about the causes or consequences of education- or work-related decisions and actions (e.g., ability to positively influence one’s own occupation choice, belief that going to college will result in more job options later)"
ACT Holistic Framework,self-efficacies,Confidence in one’s ability to complete specific tasks related to identifying occupation and educational goals and accomplishing academic or career tasks successfully
ACT Holistic Framework,education and work knowledge,"Specific information about the world of work and occupations, education, and training, and fundamental information applicable to developing and navigating one’s education and work path"
ACT Holistic Framework,supports,"Environmental events or conditions that facilitate efforts to develop and navigate one’s education or career (e.g., people who provide assistance based on their knowledge and skills, organizations providing assistance through programs and services, and people who provide reassurance and encouragement)"
ACT Holistic Framework,barriers,"Environmental events or conditions (e.g., pressure from family, friends, expectations of peers, attitudinal, policy, financial, gender, cultural, physical, socioeconomic, access to resources, language) that impede progress toward one’s education or career goals"
ACT Holistic Framework,experience,"Activities, paid or unpaid, in which the individual gains knowledge, skills, and attitudes that are relevant to education or work"
ACT Holistic Framework,identity formation,Process of recognizing individual and distinct characteristics that define oneself and using these characteristics in combination when evaluating education and career information and making education/career decisions
ACT Holistic Framework,exploration,"Seeking and processing education and occupation information guided by knowledge of the self (e.g., identifying specific occupations that are of interest to you)"
ACT Holistic Framework,goals,"Ideal, provisional aspirations or realistic and specified future education or career activities an individual wants to pursue"
ACT Holistic Framework,career and education decision making,"Process of making informed education- or occupation-related choices (using appropriate and effective decision-making strategies) under varied conditions (including difficulties related to indecision, a lack of certainty about one’s choice, and decision-making anxiety)"
ACT Holistic Framework,congruence (fit),"Degree to which an individuals’ personal characteristics are similar to or compatible with the corresponding characteristics of the chosen environment (e.g., college major program of study, occupation, job, organization)"
ACT Holistic Framework,action planning,"Based on an individual’s education or occupation choice, thinking through and specifying the preparatory steps one would take as an informed consumer to achieve that goal; formulating a practical and realistic course of action (e.g., deciding on tasks and timelines, building strategies, determining and allocating resources)"
ACT Holistic Framework,relational behaviors,Self-initiated behaviors in relation to others that facilitate understanding different aspects of the environment and further an individual’s progress toward education or work goals
ACT Holistic Framework,roles,Understanding and managing identified life roles
ACT Holistic Framework,search behaviors,Self-initiated behaviors that pertain to seeking admittance to a particular education institution or employment at a particular work organization
ACT Holistic Framework,implementation,"Ongoing actions that take place to execute, monitor, and evaluate one’s plan for achieving goals (e.g., collecting and analyzing information to track progress, comparing one’s plan to what has been accomplished)"
ACT Holistic Framework,lifelong learning,Extent to which an individual engages in ongoing behaviors to develop competence by acquiring new skills and knowledge and mastering new situations
Big Five Personality Traits,conscientiousness,"the tendency to be organized, responsible, and hardworking"
Big Five Personality Traits,openness to experience,"the tendency to be open to new aesthetic, cultural, or intellectual experiences"
Big Five Personality Traits,neuroticism / emotional stability,"Emotional stability is predictability and consistency in emotional reactions, with absence of rapid mood changes. Neuroticism is a chronic level of emotional instability and proneness to psychological distress"
Big Five Personality Traits,extraversion,an orientation of one's interests and energies toward the outer world of people and things rather than the inner world of subjective experience; characterized by positive affect and sociability
Big Five Personality Traits,agreeableness,"the tendency to act in a cooperative, unselfish manner"
Building Blocks for Learning,academic tenacity,"The beliefs and skills that allow students to look beyond short-term concerns to longer-term or higher-order goals, and withstand challenges and setbacks to persevere toward these goals."
Building Blocks for Learning,agency,A student’s individual decision-making and autonomous actions.
Building Blocks for Learning,attachment,A deep and enduring emotional bond that connects one person to another across time and space.
Building Blocks for Learning,civic identity,A multifaceted and dynamic notion of the self as belonging to and responsible for a community or communities.
Building Blocks for Learning,curiosity,"The desire to engage and understand the world, interest in a wide variety of things and preference for a complete understanding of a complex topic or problem."
Building Blocks for Learning,executive functions,"The cognitive control functions needed when one has to concentrate and think, when acting on one’s initial impulse would be ill-advised. Core executive functions include cognitive flexibility, inhibition (self-control, self-regulation) and working memory. More complex executive functions include problem-solving, reasoning and planning."
Building Blocks for Learning,growth mindset,Wherein students ascribe to the belief: my ability and competence grow with my effort.
Building Blocks for Learning,self-efficacy,The perception that one can do something successfully.
Building Blocks for Learning,sense of belonging,A sense that one has a rightful place in a given academic setting and can claim full membership in a classroom community.
Building Blocks for Learning,relevance of school,A student’s sense that the subject matter he or she is studying is interesting and holds value.
Building Blocks for Learning,relationship skills,"The ability to establish and maintain healthy and rewarding relationships with diverse individuals and groups. This includes communicating clearly, listening actively, cooperating, resisting inappropriate social pressure, negotiating conflict constructively and seeking and offering help when needed."
Building Blocks for Learning,resilience,"Positive adaptation during or following exposure to adversities that have the potential to harm development: (a) developing well in the context of high cumulative risk for developmental problems (beating the odds, better than predicted development), (b) functioning well under currently-adverse conditions (stress-resistance, coping) and (c) recovery to normal functioning after catastrophic adversity (bouncing back, self-righting) or severe deprivation (normalization)."
Building Blocks for Learning,self-regulation,"Regulation of attention, emotion and executive functions for the purposes of goal-directed actions."
Building Blocks for Learning,self-awareness,The ability to accurately recognize one’s emotions and thoughts and their influence on behavior. This includes accurately assessing one’s strengths and limitations and possessing a well-grounded sense of confidence and optimism.
Building Blocks for Learning,social awareness,"The ability to take the perspective of, and empathize with, others from diverse backgrounds and cultures, to understand social and ethical norms for behavior, and to recognize family, school and community resources and supports."
Building Blocks for Learning,stress management,Constantly changing cognitive and behavioral efforts to manage specific external and/or internal demands that are appraised as taxing or exceeding the resources of the person.
Building Blocks for Learning,self-direction,"A process in which learners take the initiative in planning, implementing and evaluating their own learning needs and outcomes, with or without the help of others."
CASEL,self-awareness,"The ability to accurately recognize one’s own emotions, thoughts, and values and how they influence behavior. The ability to accurately assess one’s strengths and limitations, with a well-grounded sense of confidence, optimism, and a “growth mindset.” Identifying emotions Accurate self-perception Recognizing strengths Self-confidence Self-efficacy"
CASEL,self-management,"The ability to successfully regulate one’s emotions, thoughts, and behaviors in different situations — effectively managing stress, controlling impulses, and motivating oneself. The ability to set and work toward personal and academic goals. Impulse control Stress management Self-discipline Self-motivation Goal-setting Organizational skills"
CASEL,social awareness,"The ability to take the perspective of and empathize with others, including those from diverse backgrounds and cultures. The ability to understand social and ethical norms for behavior and to recognize family, school, and community resources and supports. Perspective-taking Empathy Appreciating diversity Respect for others"
CASEL,relationship skills,"The ability to establish and maintain healthy and rewarding relationships with diverse individuals and groups. The ability to communicate clearly, listen well, cooperate with others, resist inappropriate social pressure, negotiate conflict constructively, and seek and offer help when needed. Communication Social engagement Relationship-building Teamwork"
CASEL,responsible decision making,"The ability to make constructive choices about personal behavior and social interactions based on ethical standards, safety concerns, and social norms. The realistic evaluation of consequences of various actions, and a consideration of the well-being of oneself and others. Identifying problems Analyzing situations Solving problems Evaluating Reflecting Ethical responsibility"
Character Lab,curiosity,Curiosity is a strong desire to learn or know something—a search for information for its own sake.
Character Lab,gratitiude,"Gratitude is the appreciation for the benefits we receive from others, and the desire to reciprocate."
Character Lab,grit,Grit is perseverance and passion for long-term goals.
Character Lab,growth mindset,Having a growth mindset means understanding that intelligence can be developed.
Character Lab,optimism,Optimism is being hopeful about future outcomes combined with the agency to shape that future.
Character Lab,purpose,Having a purpose means being driven by something larger than yourself.
Character Lab,self-control,Self-control is controlling one's own responses so they align with short- and long-term goals.
Character Lab,social/emotional intelligence,Social/Emotional intelligence is understanding feelings and using them to inform actions.
Character Lab,zest,Zest—also referred to as vitality—is an approach to life that is filled with excitement and energy.
Clover Model,active engagement,"Active Engagement is about physically connect- ing to the world. Everyone (regardless of physical ability) exists in their body—physical existence is the foundation of mental and emotional existence. The body is a significant factor in psychosomatic, eating, and stress disorders."
Clover Model,assertiveness,"Assertiveness is about having agency and self-efficacy, the ability to negotiate one’s self in relation to others, and make decisions. All humans feel the need to affect the world around them. Assertiveness reminds us that young people need opportunities to develop their voices, make decisions for themselves, and master internal order and executive function."
Clover Model,belonging,"Belonging is about building strong relationships with peers and adults, group acceptance and group identity. The need for belonging is central to our early development in our attachment to our caregivers and continues throughout our lives in a variety of ways. Humans are social creatures, and group belonging is essential for well-being and survival."
Clover Model,reflection,"Reflection describes the need to create and make meaning. It involves making sense of one’s own experiences, emotions and thoughts to create a sense of personal identity. Humans are conscious creatures; in fact, many philosophers have argued that the ability to reflect and take perspective is what makes humans unique."
Developmental Assets (ages 12-18),achievement motivation,Young person is motivated to do well in school.
Developmental Assets (ages 12-18),school engagement,Young person is actively engaged in learning.
Developmental Assets (ages 12-18),homework,Young person reports doing at least one hour of homework every school day.
Developmental Assets (ages 12-18),bonding to school,Young person cares about her or his school.
Developmental Assets (ages 12-18),reading for pleasure,Young person reads for pleasure three or more hours per week.
Developmental Assets (ages 12-18),caring,Young person places high value on helping other people.
Developmental Assets (ages 12-18),equality and social justice,Young person places high value on promoting equality and reducing hunger and poverty.
Developmental Assets (ages 12-18),integrity,Young person acts on convictions and stands up for her or his beliefs.
Developmental Assets (ages 12-18),honesty,"Young person ""tells the truth even when it is not easy."""
Developmental Assets (ages 12-18),responsibility,Young person accepts and takes personal responsibility.
Developmental Assets (ages 12-18),restraint,Young person believes it is important not to be sexually active or to use alcohol or other drugs.
Developmental Assets (ages 12-18),planning and decision making,Young person knows how to plan ahead and make choices.
Developmental Assets (ages 12-18),interpersonal competence,"Young person has empathy, sensitivity, and friendship skills."
Developmental Assets (ages 12-18),cultural competence,Young person has knowledge of and comfort with people of different cultural/racial/ethnic backgrounds.
Developmental Assets (ages 12-18),resistance skills,Young person can resist negative peer pressure and dangerous situations.
Developmental Assets (ages 12-18),peaceful conflict resolution,Young person seeks to resolve conflict nonviolently.
Developmental Assets (ages 12-18),personal power,"Young person feels he or she has control over ""things that happen to me."""
Developmental Assets (ages 12-18),self-esteem,Young person reports having a high self-esteem.
Developmental Assets (ages 12-18),sense of purpose,"Young person reports that ""my life has a purpose."""
Developmental Assets (ages 12-18),positive view of personal future,Young person is optimistic about her or his personal future.
EDC Work Ready Now! Framework,personal development,Attitude- students are able to have a settled way of thinking or feeling about something.
EDC Work Ready Now! Framework,interpersonal communications,"Learners are able to communicate and get along well with others, in a variety of settings and for a range of purposes. One-on-one and in groups, they can speak and listen actively and appropriately. They are able to give presentations at work and write professional emails. They are able to cooperate and work effectively within a group. They are able to provide good customer service and handle difficult customers."
EDC Work Ready Now! Framework,work habits and conduct,Learners will be familiar with sources of information about potential employment opportunities and know the appropriate ways to apply for jobs. They will know how to write effective CVs and application letters and will prepare a career portfolio. They know how to present themselves for a job interview and will be comfortable being interviewed. They will meet employers and conduct informational interviews. They demonstrate good time management and show up for work on time. They demonstrate behavior and attitudes that are appropriate for the workplace and understand that workplaces have policies and procedures that need to be followed. They take initiative and responsibility for their own work and know how to work under and respect supervision.
EDC Work Ready Now! Framework,leadership,"Learners are able to define and demonstrate the characteristics and behaviors of an effective leader. They recognize that there are different leadership styles and take this into account as they lead and assist others. Learners are able to motivate and organize others, and can guide sound problem solving and decision making processes. They are able to lead a team in accomplishing their goals."
EDC Work Ready Now! Framework,safety and health at work,Learners are familiar with standard health and safety practices and regulations in the workplace and can identify unsafe situations. They know how to respond to emergencies and accidents.
EDC Work Ready Now! Framework,worker and employer rights and responsibilities,Learners are familiar with the rights and responsibilities of workers and employers and have explored ways to exercise rights in the workplace.
EDC Work Ready Now! Framework,financial fitness,Learners understand principles and tools behind personal and family money-management. They are able to understand the importance of saving and reducing expenses. They are able to organize and manage personal and household finances. They can create a personal budget and think strategically about their finances. They can evaluate their options for earning money. They are aware of the risks and benefits associated with credit cards and loans.
EDC Work Ready Now! Framework,introduction to entrepreneurship,"Learners will be able to identify livelihood activities and businesses in their community. They will recognize the characteristics / traits of an entrepreneur and understand what they do. Learners will be able to link entrepreneurship to the key skills taught in the WRN! curriculum, including setting goals, planning, communication skills, decision making skills, problem solving, leadership, working in a team and customer service. They will be able to identify and analyze risk. They will be able to assess whether or not they are ready for entrepreneurship and identify what they can do to become more entrepreneurial."
EU NESET Framework for Social and Emotional Education,self-awareness,"Students are able to recognise their emotions, describe their interests and values and accurately assess their strengths and weaknesses. They are able to reflect on their thoughts and learning process. They have a well-grounded sense of self-confidence, self efficacy, agency and autonomy. They are hopeful about the future and have a sense of meaning and purpose. More specifically, this content area includes the following competencies. Recognition of emotions: identifying and labelling feelings. Knowledge and recognition of strengths: identification and cultivation of one’s strengths and positive qualities, and using strengths to address limitations/weaknesses and maximise potential. Confidence and self-efficacy. Self-determination: autonomy, agency. Self-advocacy and awareness of one’s rights as an individual. Hope and optimism about one’s learning and life in general and hope for the future. Sense of meaning and purpose in life, self-actualisation."
EU NESET Framework for Social and Emotional Education,self-management,"Students are able to manage their thoughts, emotions and behaviour, manage stress, engage in positive talk, control impulses, and persevere in overcoming obstacles. They can set goals and monitor progress towards the achievement of personal and academic goals, persisting in the face of difficulties and overcoming adversity. They are able to engage in critical thinking, to solve problems effectively, and to make good and informed decisions. They express their positive and negative emotions appropriately in a wide range of situations and demonstrate mindful attention and focused awareness. They are actively engaged in social and academic tasks through their strengths and are able to use self-management and problem-solving skills in academic learning. More specifically, this content area includes the four sets of competencies below: Emotional regulation, expression, and mindfulness: Self-regulation, emotional expression and dealing with negative emotions (including anger management, stress management, dealing with negative thoughts); Appreciation of one’s positive emotions, such as happiness and excitement; Development of mindful attention and focused awareness (exercising mindfulness, sharpening awareness of self, others and environment through focused attention). Goal setting, problem solving and decision making: Goal setting and self-monitoring (establishing, planning and working towards achieving short- and longterm goals, including academic achievement); Problem solving and decision making (analysing situations accurately, perceiving when a decision is needed and assessing factors that influence decisions, generating, implementing and evaluating positive and informed solutions to problems, taking necessary decisions). Resilience skills: Resilience to overcome difficulties and setbacks and keep thriving (determination, persistence, sense of purpose, self-control, hopefulness, positive self-talk). Success oriented engagement and metacognitive skills: Critical, creative and lateral thinking: thinking critically about learning and thinking, learning about learning and developing better thinking skills; Success oriented engagement (particularly in relation to educational challenges: self-motivation, making use of one’s strengths, self-regulation, goal setting, persistence and problem solving)."
EU NESET Framework for Social and Emotional Education,social awareness,"Students are able to take the perspective of and empathise with others, and recognize and appreciate individual and group similarities and differences, diversity and social inclusion. They have a sense of connectedness and belonging to the community. They are able to seek out and appropriately use family, school and community resources in age-appropriate ways. They demonstrate prosocial values and behaviours, and are motivated to contribute to the wellbeing of their schools and communities. They also appreciate and care for the physical environment. More specifically, this content area includes the following competencies: Perspective taking (identifying and understanding thoughts and feelings of others); Empathy; Appreciation and celebration of individual and group cultural and social differences and similarities; Awareness of resources and support networks (family, school and community); Prosocial values, attitudes and behaviour (honesty, respecting rights of others, feeling responsible for and supporting the well-being of others); Respect for, and protection of, the physical environment."
EU NESET Framework for Social and Emotional Education,social management,"Students have good relationship skills, being able to establish and maintain healthy and rewarding relationships based on co-operation and collaboration. They resist inappropriate social pressure; constructively prevent, manage and resolve interpersonal conflict; and seek and provide help when needed. They demonstrate ethical behaviour and responsible decision making in the various contexts they operate, considering the needs and rights of others in their behaviour and decisions. More specifically, this content area includes the following competencies. Healthy and rewarding relationships with individuals and groups, appreciating equality and diversity in relationships; Effective communication to express oneself and positive exchanges with others, using both verbal and nonverbal skills; Cooperation and collaboration with others; Leadership skills (motivating others, teamwork, negotiation, decision making); Dealing with peer pressure (refusing to engage in unwanted, unsafe and unethical conduct); Constructive conflict resolution (achieving mutually satisfactory resolutions to conflict by addressing the needs of all concerned); Dealing with negative relationships such as bullying, harassment and violence; Seeking and providing help and support; Ethical and responsible behaviour and decision making (considering ethical standards, safety concerns, and respect for others, and the likely consequences of various courses of action when making decisions); Contributing to the wellbeing and flourishing of the community."
Emotional Intelligence,"ability to identify emotion in one's physical states, feelings, and thoughts","Ability to identify emotion in one's physical states, feelings, and thoughts"
Emotional Intelligence,"ability to identify emotions in other people, designs, artwork, etc., through language, sound, appearance, and behavior","Ability to identify emotions in other people, designs, artwork, etc., through language, sound, appearance, and behavior."
Emotional Intelligence,"ability to express emotions accurately, and to express needs related to those feelings","Ability to express emotions accurately, and to express needs related to those feelings."
Emotional Intelligence,"ability to discriminate between accurate and inaccurate, or honest versus dishonest expressions of feeling","Ability to discriminate between accurate and inaccurate, or honest versus dishonest expressions of feeling."
Emotional Intelligence,emotions prioritize thinking by directing attention to important information,Emotions prioritize thinking by directing attention to important information
Emotional Intelligence,emotions are sufficiently vivid and available that they can be generated as aids to judgment and memory concerning feelings,Emotions are sufficiently vivid and available that they can be generated as aids to judgment and memory concerning feelings
Emotional Intelligence,"emotional mood swings change the individual's perspective to pessimistic, encouraging consideration of multiple points of view","Emotional mood swings change the individual's perspective to pessimistic, encouraging consideration of multiple points of view."
Emotional Intelligence,emotional states differentially encourage specific problem approaches such as when happiness facilitates inductive reasoning and creativity,Emotional states differentially encourage specific problem approaches such as when happiness facilitates inductive reasoning and creativity.
Emotional Intelligence,"ability to label emotions and recognize relations among the words and the emotions themselves, such as the relation between liking and loving","Ability to label emotions and recognize relations among the words and the emotions themselves, such as the relation between liking and loving."
Emotional Intelligence,"ability to interpret the meanings that emotions convey regarding relationships, such as that sadness often accompanies a loss","Ability to interpret the meanings that emotions convey regarding relationships, such as that sadness often accompanies a loss."
Emotional Intelligence,"ability to understand complex feelings; simultaneous feelings of love and hate, or blends such as awe as a combination of fear and surprise","Ability to understand complex feelings; simultaneous feelings of love and hate, or blends such as awe as a combination of fear and surprise."
Emotional Intelligence,"ability to recognize likely transitions among emotions, such as the transition from anger to satisfaction, or from anger to shame","Ability to recognize likely transitions among emotions, such as the transition from anger to satisfaction, or from anger to shame."
Emotional Intelligence,"ability to stay open to feelings, both those that are pleasant and those that are unpleasant","Ability to stay open to feelings, both those that are pleasant and those that are unpleasant."
Emotional Intelligence,ability to reflectively engage or detach from emotion depending upon ints judged informativeness or utility,Ability to reflectively engage or detach from emotion depending upon ints judged informativeness or utility.
Emotional Intelligence,"ability to reflectively monitor emotions in relation to oneself and others, such as recognizing how clear, typical, influential, or reasonable they are","Ability to reflectively monitor emotions in relation to oneself and others, such as recognizing how clear, typical, influential, or reasonable they are."
Emotional Intelligence,"ability to manage emotion in oneself and others by moderating negative emotions and enhancing pleasant ones, without repressing or exaggerating information they may convey","Ability to manage emotion in oneself and others by moderating negative emotions and enhancing pleasant ones, without repressing or exaggerating information they may convey."
Employability Skills,reading skills,"Student applies/demonstrates reading skills by interpreting written instructions/project directions and constructing responses, using print and online materials as resources, completing worksheets, and seeking clarification about what they have read."
Employability Skills,writing skills,"Student relies on writing skills to construct lab reports, posters, and presentation materials, take notes, and compose responses to essay questions."
Employability Skills,math strategies/procedures,"Student uses computational skills appropriately and make logical choices when analyzing and differentiating among available procedures. Outside of math class, this includes creating/interpreting tables and graphs and organizing/displaying data."
Employability Skills,scientific principles/procedures,"Student follows procedures, experiment, infer, hypothesize (even as simple as ""what if we do it this way""), and construct processes to complete a task (can occur outside of math/science classes)."
Employability Skills,thinks creatively,"Student creates innovative and novel ideas/solutions and display divergent thinking. This can be seen in oral presentations and creative writing assignments, open-ended tasks, and project design."
Employability Skills,thinks critically,"Student displays analytical and strategic thinking. This can be seen in debating an issue, converging on an understanding, assessing a problem, and questioning (playing devil's advocate)."
Employability Skills,makes sound decisions,Student differentiates between multiple approaches and assess options (could be linked to thinking critically).
Employability Skills,solves problems,Student assesses problems involving the use of available resources (personnel and materials) and reviews multiple strategies for resolving problems (could be linked to thinking creatively).
Employability Skills,reasons,"Student negotiates pros/cons of ideas, approaches, and solutions and analyzes options using ""if-then"" rationale."
Employability Skills,plans/organizes,"Student plans steps, procedures, and/or approaches for addressing tasks. This occurs naturally in most assignments, ranging from solving one problem to completing a long-term project."
Employability Skills,understands teamwork and works with others,"Student participates in cooperative groups or with a partner, contributes fairly to the task, and shows respect to others."
Employability Skills,responds to customer needs,"Student helps fellow students understand tasks, finds resources, and fulfills assigned roles (thinks of fellow students as customers)."
Employability Skills,exercises leadership,Student participates as team leader or effective team member in project assignments and organizes work to meet project goals and team roles.
Employability Skills,negotiates to resolve conflict,"Student keeps team members on track, suggests alternatives, and discusses options (can be as much about agreement as conflict)."
Employability Skills,respects individual differences,"Student listens to and considers all team members' ideas, responds supportively to ideas given in class or in teams, and works well with all teammates."
Employability Skills,demonstrates responsibility and self-discipline,"Student actively participates in class, asks questions, volunteers answers, completes/submits assignments, and works well in groups."
Employability Skills,adapts and shows flexibility,Student adapts easily to different modes of instruction and different types of assignments.
Employability Skills,works independently,Student commits to time-on-task during class and begins work without fanfare.
Employability Skills,demonstrates a willingness to learn,Student is cooperative and noticeably engaged.
