index,instructions,question
3923,Childhood ADHD Symptoms: Prior to Age 7,DIFFICULTY FOLLOWING INSTRUCTIONS (FINISHING)(ACDS_04)
3924,Childhood ADHD Symptoms: Prior to Age 7,DIFFICULTY ORGANIZING TASKS/ACTIVITIES(ACDS_05)
3925,Childhood ADHD Symptoms: Prior to Age 7,AVOIDANCE OF TASKS WITH SUSTAINED MENTAL EFFORT(ACDS_06)
3926,Childhood ADHD Symptoms: Prior to Age 7,LOSES THINGS(ACDS_07)
3927,Childhood ADHD Symptoms: Prior to Age 7,EASILY DISTRACTED(ACDS_08)
3928,Childhood ADHD Symptoms: Prior to Age 7,FORGETFUL IN DAILY ACTIVITES(ACDS_09)
3929,Childhood ADHD Symptoms: Prior to Age 7,FIDGETS/SQUIRMS(ACDS_10)
3930,Childhood ADHD Symptoms: Prior to Age 7,DIFFICULTY REMAINING SEATED(ACDS_11)
3931,Childhood ADHD Symptoms: Prior to Age 7,RUNS/CLIMBS EXCESSIVELY/INAPPROPRIATELY(ACDS_12)
3932,Childhood ADHD Symptoms: Prior to Age 7,DIFFICULTY PLAYING QUIETLY(ACDS_13)
3933,Childhood ADHD Symptoms: Prior to Age 7,ON THE GO/DRIVEN BY A MOTOR(ACDS_14)
3934,Childhood ADHD Symptoms: Prior to Age 7,TALKS EXCESSIVELY(ACDS_15)
3935,Childhood ADHD Symptoms: Prior to Age 7,BLURTS OUT ANSWERS(ACDS_16)
3936,Childhood ADHD Symptoms: Prior to Age 7,DIFFICULTY WAITNG TURN(ACDS_17)
3937,Childhood ADHD Symptoms: Prior to Age 7,INTERRUPTS OR INTRUDES(ACDS_18)
3938,Childhood ADHD Symptoms: Prior to Age 7,DID RESPONDENT REPORT ADHD SYMPTOMS PRIOR TO AGE 7?(ACDS_19)
232,,How often do you find that you stay on-line longer than you intended?
233,,How often do you neglect household chores to spend more time online?
234,,How often do you prefer the excitement of the Internet to intimacy with your partner?
235,,How often do you form new relationships with fellow on-line users?
236,,How often do others in your life complain to you about the amount of time you spend on-line?
237,,How often do your grades or school work suffer because of the amount of time you spend on-line?
238,,How often do you check your e-mail before something else that you need to do?
239,,How often does your job performance or productivity suffer because of the internet?
240,,How often do you become defensive or secretive when anyone asks you what you do on-line?
241,,How often do you block out disturbing thoughts about your life with soothing thoughts of the internet?
242,,How often do you find yourself anticipating when you will go on-line again?
243,,"How often do you fear that life without the Internet would be boring, empty, and joyless?"
244,,"How often do you snap, yell, or act annoyed if someone bothers you while you are on-line?"
245,,How often do you lose sleep due to late-night log-ins?
246,,"How often do you feel preoccupied with the Internet when off-line, or fantasize about being on-line?"
247,,"How often do you find yourself saying ""just a few more minutes"" when on-line?"
248,,How often do you try to cut down the amount of time you spend on-line and fail?
249,,How often do you try to hide how long you've been on-line?
250,,How often do you choose to spend more time on-line over going out with others?
251,,"How often do you feel depressed, moody, or nervous when you are off-line, which goes away once you are back on-line?"
1261,56. Physical problems without known medical cause:,Aches or pains (not stomach or headaches)
1325,Please write in any problems your child has that were not listed above,Please write in any problems your child has that were not listed above
1326,Please write in any problems your child has that were not listed above,Please write in any problems your child has that were not listed above
1327,Please write in any problems your child has that were not listed above,Please write in any problems your child has that were not listed above
1206,,Acts too young for his/her age
1209,,Fails to finish things he/she starts
1226,,Destroys things belonging to his/her family or others
1234,,"Fears certain animals, situations, or places, other than school (describe):"
1247,,Would rather be alone than with others
1273,,Poor school work
1277,,Refuses to talk
1278,,Repeats certain acts over and over; compulsions (describe):
1284,,Sets fires
1285,,Sexual problems (describe):
1288,,Sleeps less than most kids
1304,,Talks or walks in sleep (describe):
1318,,Vandalism
1101,,Aches or pains (without medical cause; do not include stomach or headaches)
1103,,Afraid to try new things
1106,,"Can't sit still, restless, or hyperactive"
1109,,Chews on things that aren't edible
1112,,"Constipated, doesn't move bowels (when not sick)"
1118,,Destroys things belonging to his/her family or other children
1119,,Diarrhea or loose bowels (when not sick)
1122,,Doesn't want to sleep alone
1123,,Doesn't answer when people walk to him/her
1124,,Doesn't eat well (describe):
1128,,Doesn't want to go out of home
1131,,Eats or drinks things that are not food-- DON'T include sweets (describe):
1133,,Feelings are easily hurt
1134,,"Gets hurt a lot, addicent prone"
1138,,Has trouble getting into sleep
1141,,Holds his/her breath
1142,,Hurts animals or people without meaning to
1151,,Shows panic for no good reason
1152,,Painful bowel movements (without medical cause)
1159,,Quickly shifts from one activity to another
1160,,Rashes or other skin problems (without medical cause)
1162,,Refuses to play active games
1163,,Repeatedly rocks head or body
1164,,Resists going to bed at night
1165,,Resists toilet training (describe):
1167,,Seems unresponsive to affection
1168,,Self-conscious or easily embarrassed
1169,,Selfish or won't share
1171,,Shows little interest in things around him/her
1172,,Shows too little fear of getting hurt
1174,,Sleeps less than most kids during day and/or night (describe):
1175,,Smears or plays with bowel movements
1179,,Rapid shifts between sadness and excitement
1181,,"Stubborn, sullen, or irritable"
1183,,Sulks a lot
1184,,Talks or cries out in sleep
1192,,Upset by new people or situations (describe):
1194,,Wakes up often at night
1195,,Wanders away
1196,,Wants a lot of attention
1199,,Worries
1203,,Does the child have any illness or disability (either physical or mental)?
1204,,What concerns you most about the child?
1205,,Please describe the best things about the child:
1951,,I act too young for my age
1954,,I fail to finish things that I start
1956,,I like animals
1957,,I brag
1961,,I'm too dependent on adults
1965,,I am pretty honest
1967,,I daydream a lot
1969,,I try to get a lot of attention
1970,,I destroy my own things
1971,,I destroy things belonging to others
1972,,I disobey my parents
1973,,I disobey at school 
1974,,I don't eat as well as I should
1975,,I don't get along with other kids
1976,,I don't feel guilty after doing something I shouldn't
1977,,I am jealous of others
1978,,"I break rules at home, school, or elsewhere"
1979,,"I am afraid of certain animals, situations, or places, other than school (describe):"
1980,,I am afraid of going to school
1982,,I feel that I have to be perfect
1983,,I feel that no one loves me
1984,,I feel that others are out to get me
1986,,I accidentally get hurt a lot
1987,,I get in many fights
1988,,I get teased a lot
1989,,I hang around with kids who get in trouble
1990,,I hear sounds or voices that other people think aren't there (describe):
1991,,I act without stopping to think
1992,,I would rather be alone than with others
1993,,I lie or cheat
1994,,I bite my fingernails
1998,,I am not liked by other kids
1999,,I can do certain things better than most kids
2000,,I am too fearful or anxious
2003,,I eat too much
2004,,I feel overtired without good reason
2015,,I pick my skin or other parts of my body (describe):
2016,,I can be pretty friendly
2017,,I like to try new things
2018,,My school work is poor
2019,,I am poorly coordinated or clumsy
2020,,I would rather be with older kids than kids my own age
2021,,I would rather be with younger kids than kids my own age
2022,,I refuse to talk
2023,,I repeat certain acts over and over (describe):
2024,,I run away from home
2025,,I scream a lot
2026,,I am secretive or keep things to myself
2027,,I see things that other people think aren't there (describe):
2029,,I set fires
2030,,I can work well with my hands
2031,,I show off or clown
2033,, I sleep less than most kids
2034,,I sleep more than most kids during day and/or night (describe):
2035,,I am inattentive or easily distracted
2036,,I have a speech problem (describe):
2038,,I steal at home
2039,,I steal from places other than home
2040,,I store up too many things I don't need (describe):
2041,,I do things other people think are strange (describe):
2043,, I am stubborn
2047,,I swear or use dirty language
2051,,I tease others a lot
2052,,I have a hot temper
2058,,I cut classes or skip school
2059,, I don't have much energy
2061,, I am louder than other kids
2062,,I use drugs for nonmedical purposes (don't include alcohol or tobacco) (describe):
2063,,I like to be fair to others
2064,, I enjoy a good joke
2065,,I like to take life easy
2066,,I like to help other people when I can
2067,,I wish I were of the opposite sex
110,,"When I feel frightened, it is hard to breathe"
111,,I get headaches when I am at school
112,,I don’t like to be with people I don’t know well
113,,I get scared if I sleep away from home
114,,I worry about other people liking me
115,,"When I get frightened, I feel like passing out"
117,,I follow my mother or father wherever they go
118,,People tell me that I look nervous
119,,I feel nervous with people I don’t know well
120,,I get stomach aches at school
121,,"When I get frightened, I feel like I am going crazy"
122,,I worry about sleeping alone
123,,I worry about being as good as other kids
124,,"When I get frightened, I feel like things are not real"
125,,I have nightmares about something bad happening to my parents
126,,I worry about going to school
127,,"When I get frightened, my heart beats fast"
128,,I get shaky
129,,I have nightmares about something bad happening to me
130,,I worry about things working out for me
131,,"When I get frightened, I sweat a lot"
132,,I am a worrier
133,,I get really frightened for no reason at all
134,,I am afraid to be alone in the house
135,,It is hard for me to talk with people I don’t know well
136,,"When I get frightened, I feel like I am choking"
137,,People tell me that I worry too much
138,,I don’t like to be away from my family
139,,I am afraid of having anxiety (or panic) attacks
140,,I worry that something bad might happen to my parents
163,,I feel shy with people I don’t know well
164,,I worry about what is going to happen in the future
165,,"When I get frightened, I feel like throwing up"
166,,I worry about how well I do things
167,,I am scared to go to school
168,,I worry about things that have already happened
169,,"When I get frightened, I feel dizzy"
170,,"I feel nervous when I am with other children or adults and I have to do something while they watch me (for example: read aloud, speak, play a game, play a sport)"
171,,"I feel nervous when I am going to parties, dances, or any place where there will be people that I don’t know well"
172,,I am shy
400,,My child is scared to go to school
365,,"When my child feels frightened, it is hard for him/her to breathe"
366,,My child gets headaches when he/she is at school
367,,My child doesn’t like to be with people he/she doesn't know well
368,,My child gets scared if he/she sleeps away from home
369,,My child worries about other people liking him/her
370,,"When my child gets frightened, he/she feels like passing out"
371,,My child is nervous
372,,My child follows me wherever I go
373,,People tell me that my child looks nervous
374,,My child feels nervous with people he/she doesn’t know well
375,,My child gets stomach aches at school
376,,"When my child gets frightened, he/she feels like he/she is going crazy"
377,,My child worries about sleeping alone
378,,My child worries about being as good as other kids
379,,"When my child gets frightened, he/she feels like things are not real"
380,,My child has nightmares about something bad happening to his/her parents
381,,My child worries about going to school
382,,"When my child gets frightened, his/her heart beats fast"
383,,He/she child gets shaky
384,,My child has nightmares about something bad happening to him/her
385,,My child worries about things working out for him/her
386,,"When my child gets frightened, he/she sweats a lot"
387,,My child is a worrier
388,,My child gets really frightened for no reason at all
389,,My child is afraid to be alone in the house
390,,It is hard for my child to talk with people he/she doesn't know well
391,,"When my child gets frightened, he/she feels like he/she is choking"
392,,People tell me that my child worries too much
393,,My child doesn't like to be away from his/her family
394,,My child is afraid of having anxiety (or panic) attacks
395,,My child worries that something bad will happen to his/her parents
396,,My child feels shy with people he/she doesn't know well
397,,My child worries about what is going to happen in the future
398,,"When my child gets frightened, he/she feels like throwing up"
399,,My child worries about how well he/she does things
401,,My child worries about things that have already happened
402,,"When my child gets frightened, he/she feels dizzy"
403,,"My child feels nervous when he/she is with other children or adults and he/she has to do something while they watch him/her (for example: read aloud, speak, play agame, play a sport)"
404,,"My child feels nervous when he/she is going to parties, dances, or any place where there will be people that he/she doesn’t know well"
405,,My child is shy
4964,,I am not a worrier
4965,,I like to have a lot of people around me.
4966,,"I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop."
4967,,I try to be courteous to everyone I meet.
4968,,I keep my belongings neat and clean.
4969,,At times I have felt bitter and resentful.
4970,,I laugh easily.
4971,,I think it's interesting to learn and develop new hobbies.
4972,,At times I bully or flatter people into doing what I want them to.
4973,,I'm pretty good about pacing myself so as to get things done on time.
4974,,"When I'm under a great deal of stress, sometimes I feel like I'm going to pieces."
4975,,I prefer jobs that let me work alone without being bothered by other people.
4976,,I am intrigued by the patterns I find in art and nature.
4977,,Some people think I'm selfish and egotistical.
4978,,I often come into situations without being fully prepared.
4979,,I rarely feel lonely or blue.
4980,,I really enjoy talking to people.
4981,,I believe letting students hear controversial speakers can only confuse and mislead them.
4982,,"If someone starts a fight, I'm ready to fight back."
4983,,I try to perform all the tasks assigned to me conscientiously.
4984,,I often feel tense and jittery.
4985,,I like to be where the action is.
4986,,Poetry has little or no effect on me.
4987,,"I'm better than most people, and I know it."
4988,,I have a clear set of goals and work toward them in an orderly fashion.
4989,,Sometimes I feel completely worthless.
4990,,I shy away from crowds of people.
4991,,I would have difficulty just letting my mind wander without control or guidance.
4992,,"When I've been insulted, I just try to forgive and forget."
4993,,I waste a lot of time before settling down to work.
4994,,I rarely feel fearful or anxious.
4995,,I often feel as if I'm bursting with energy.
4996,,I seldom notice the moods or feelings that different environments produce.
4997,,I tend to assume the best about people.
4998,,I work hard to accomplish my goals.
4999,,I often get angry at the way people treat me.
5000,,"I am a cheerful, high-spirited person."
5001,,I experience a wide range of emotions or feelings.
5002,,Some people think of me as cold and calculating.
5003,,"When I make a commitment, I can always be counted on to follow through."
5004,,"Too often, when things go wrong, I get discouraged and feel like giving up."
5005,,I don't get much pleasure from chatting with people.
5006,,"Sometimes when I am reading poetry or looking at a work or art, I feel a chill or wave of excitement."
5007,,I have no sympathy for beggars.
5008,,Sometimes I'm not as dependable or reliable as I should be.
5009,,I am seldom sad or depressed.
5010,,My life is fast-paced.
5011,,I have little interest in speculating on the nature of the universe or the human condition.
5012,,I generally try to be thoughtful and considerate.
5013,,I am a productive person who always gets the job done.
5014,,I often feel helpless and want someone else to solve my problems.
5015,,I am a very active person.
5016,,I have a lot of intellectual curiosity.
5017,,"If I don't like people, I let them know it."
5018,,I never seem to be able to get organized.
5019,,At times I have been so ashamed I just wanted to hide.
5020,,I would rather go my own way than be a leader of others.
5021,,I often enjoy playing with theories or abstract ideas.
5022,,"If necessary, I am willing to manipulate people to get what I want."
5023,,I strive for excellence in everything I do.
2319,,Gives close attention to detail and avoids careless mistakes
2320,,Sustains attention on tasks or play activities
2321,,Listens when spoken to directly
2322,,Follows through on instructions and finishes school work and chores
2323,,Organizes tasks and activities
2324,,Engages in tasks that require sustained mental effort
2325,,Keeps track of things necessary for activities (doesn't lose them)
2326,,Ignores extraneous stimuli
2327,,Remembers daily activities
2328,,Sits still (controls movement of hands or feet or controls squirming)
2329,,Stays seated (when required by class rules or social conventions)
2330,,Modulates motor activity (inhibits inappropriate running or climbing)
2331,,Plays quietly (keeps noise level reasonable)
2332,,Settles down and rests (controls constant activity)
2333,,Modulates verbal activity (controls excessive talking)
2334,,Reflects on questions (controls blurting out answers)
2335,,Awaits turn (stands in line and takes turns)
2336,,Enters into conversation and games without interrupting or intruding
894,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Keep a regular heartbeat
895,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Keep dry and cool
896,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Keep hands steady
897,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Breath at their typical speed
898,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Breath without choking sensations
899,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Remain without chest discomfort or pain
900,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Keep a settled stomach
901,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Keep clear-headed
902,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Maintain feelings of a comfortable body temperature
903,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Maintain feelings in their hands or feet
904,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Maintain awareness of oneself
905,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Feel in control
906,"Compared to other children of the same age, during moments of intense fear or discomfort, how well does this child:",Feel physically safe
852,"Compared to other children of the same age, how well does this child:",Tolerate feelings of anxiety in social situations
853,"Compared to other children of the same age, how well does this child:",Handle fears of appearing anxious in social situations
854,"Compared to other children of the same age, how well does this child:",Stay relaxed in social situations
855,"Compared to other children of the same age, how well does this child:",Seek out social activities
856,"Compared to other children of the same age, how well does this child:",Enjoy participating in social activities
857,"Compared to other children of the same age, how well does this child:",Control anxiety in challenging social situations
839,"Compared to other children of the same age, in recent weeks, how well does this child:",Limit feelings of sadness
840,"Compared to other children of the same age, in recent weeks, how well does this child:",Limit feelings of  irritability
841,"Compared to other children of the same age, in recent weeks, how well does this child:",Show interest in performing activities
842,"Compared to other children of the same age, in recent weeks, how well does this child:",Enjoy activities
843,"Compared to other children of the same age, in recent weeks, how well does this child:",Maintain stable weight
844,"Compared to other children of the same age, in recent weeks, how well does this child:",Maintain appropriate appetite
845,"Compared to other children of the same age, in recent weeks, how well does this child:",Sleep for an appropriate amount of time
846,"Compared to other children of the same age, in recent weeks, how well does this child:",Maintain their typical pace of movement
847,"Compared to other children of the same age, in recent weeks, how well does this child:",Have energy to perform activities
848,"Compared to other children of the same age, in recent weeks, how well does this child:",Feel self-worth
849,"Compared to other children of the same age, in recent weeks, how well does this child:",Concentrate
850,"Compared to other children of the same age, in recent weeks, how well does this child:",Make decisions
851,"Compared to other children of the same age, in recent weeks, how well does this child:",Feel life is worth living
858,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or control ‘arguing or yelling’ at home
859,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or control ‘arguing or yelling’ with friends
860,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or control ‘arguing or yelling’ at school
861,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or control ‘getting into fights’ at home
862,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or control ‘getting into fights’ with friends
863,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or control ‘getting into fights’ at school
864,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or control ‘taking anger out on objects or throwing things at people’ at home
865,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or control ‘taking anger out on objects or throwing things at people’ with friends
866,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or control ‘taking anger out on objects or throwing things at people’ at school
867,"Compared to other children of the same age, most of the time, how well does this child:",Control the intensity of anger at home
868,"Compared to other children of the same age, most of the time, how well does this child:",Control the intensity of anger with friends
869,"Compared to other children of the same age, most of the time, how well does this child:",Control the intensity of anger at school
870,"Compared to other children of the same age, most of the time, how well does this child:",Return quickly to baseline mood and behavior when frustrated at home
871,"Compared to other children of the same age, most of the time, how well does this child:",Return quickly to baseline mood and behavior when frustrated with friends
872,"Compared to other children of the same age, most of the time, how well does this child:",Return quickly to baseline mood and behavior when frustrated at school
873,"Compared to other children of the same age, most of the time, how well does this child:",Handle anger when does not get what he/she wants at home
874,"Compared to other children of the same age, most of the time, how well does this child:",Handle anger when does not get what he/she wants with friends
875,"Compared to other children of the same age, most of the time, how well does this child:",Handle anger when does not get what he/she wants at school
876,"Compared to other children of the same age, most of the time, how well does this child:",Handle frustration on a day-to-day basis at home
877,"Compared to other children of the same age, most of the time, how well does this child:",Handle frustration on a day-to-day basis with friends
878,"Compared to other children of the same age, most of the time, how well does this child:",Handle frustration on a day-to-day basis at school
879,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or limit temper tantrums at home
880,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or limit temper tantrums with friends
881,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or limit temper tantrums at school
882,"Compared to other children of the same age, most of the time, how well does this child:","Exhibit a good mood throughout the day, most days of the week at home"
883,"Compared to other children of the same age, most of the time, how well does this child:","Exhibit a good mood throughout the day, most days of the week with friends"
884,"Compared to other children of the same age, most of the time, how well does this child:","Exhibit a good mood throughout the day, most days of the week at school"
885,"Compared to other children of the same age, most of the time, how well does this child:","Compared to other children of the same age, over the past year, how well has this child maintained appropriate mood and behavior at home"
886,"Compared to other children of the same age, most of the time, how well does this child:","Compared to other children of the same age, over the past year, how well has this child maintained appropriate mood and behavior with friends"
887,"Compared to other children of the same age, most of the time, how well does this child:","Compared to other children of the same age, over the past year, how well has this child maintained appropriate mood and behavior at school"
888,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or limit moments of intense fear that occur ‘out of the blue’
889,"Compared to other children of the same age, most of the time, how well does this child:",Avoid or limit moments of discomfort that occur without a clear cause
890,"Compared to other children of the same age, most of the time, how well does this child:",Keep the mind free from worries about experiencing intense fear or discomfort
891,"Compared to other children of the same age, most of the time, how well does this child:",Keep the mind free from worries of losing control
892,"Compared to other children of the same age, most of the time, how well does this child:",Return to typical behaviors after experiencing a moment of intense fear or discomfort
893,"Compared to other children of the same age, most of the time, how well does this child:",Return to typical activities after experiencing a moment of intense fear or discomfort
4186,,Are you basically satisfied with your life?
4187,,Have you dropped many of your activities and interests?
4188,,Do you feel that your life is empty?
4189,,Do you often get bored?
4190,,Are you hopeful about the future?
4191,,Are you bothered by thoughts that you just cannot get out of your head?
4192,,Are you in good spirits most of the time?
4193,,Are you afraid that something bad is going to happen to you?
4194,,Do you feel happy most of the time?
4195,,Do you often feel helpless?
4196,,Do you often get restless and fidgety?
4197,,"Do you prefer to stay home at night, rather than go out and do new things?"
4198,,Do you frequently worry about the future? YES no
4199,,Do you feel that you have more problems with memory than most?
4200,,Do you think it is wonderful to be alive now?
4201,,Do you often feel downhearted and blue?
4202,,Do you feel pretty worthless the way you are now?
4203,,Do you worry a lot about the past?
4204,,Do you find life very exciting?
4205,,Is it hard for you to get started on new projects? 
4206,,Do you feel full of energy?
4207,,Do you feel that your situation is hopeless
4208,,Do you think that most people are better off than you are?
4209,,Do you frequently get upset over little things?
4210,,Do you frequently feel like crying? 
4211,,Do you have trouble concentrating?
4212,,Do you enjoy getting up in the morning?
4213,,Do you prefer to avoid social gatherings?
4214,,Is it easy for you to make decisions?
4215,,Is your mind as clear as it used to be?
2924,,Acts too young for his/her age
2926,,Argues a lot
2928,,There is very little that he/she enjoys
2929,,Bowel movements outside toilet
2930,,"Bragging, boasting"
2931,,"Can't concentrate, can't pay attention for long"
2935,,Complains of loneliness
2936,,Confused or seems to be in a fog
2937,,Cries a lot
2938,,Cruel to animals
2939,,"Cruelty, bullying, or meanness to others"
2940,,Daydreams or gets lost in his/her thoughts
2942,,Demands a lot of attention
2943,,Destroys his/her own things
2944,,Destroys property belonging to others
2945,,Disobedient at home
2946,,Disobedient at school
2947,,Doesn't eat well
2949,,Doesn't seem to feel guilty after misbehaving
2950,,Easily jealous
2951,,"Breaks rules at home, school, or elsewhere"
2953,,Fears going to school
2954,,Fears he/she might think or do something bad
2955,,Feels he/she has to be perfect
2956,,Feels or complains that no one loves him/her
2957,,Feels others are out to get him/her
2958,,Feels worthless or inferior
2960,,Gets in many fights
2962,,Hangs around with others who get in trouble
2964,,Impulsive or acts without thinking
2966,,Lying or cheating
2967,,Bites fingernails
2969,,Nervous movements or twitching (describe):
2970,,Nightmares
2971,,Not liked by other pupils
2973,,Too fearful or anxious
2974,,Feels dizzy or lightheaded
2975,,Feels too guilty
2976,,Overeating
2977,,Overtired without good reason
2978,,Overweight
2984,,Stomachaches 
2987,,Physically attacks people
2988,,"Picks nose, skin, or other parts of body (describe):"
2990,,Plays with own sex parts too much
2992,,Poorly coordinated or clumsy
2993,,Prefers being with older kids
2997,,Runs away from home
2998,,Screams a lot
2999,,"Secretive, keeps things to self"
3004,,Showing off or clowning
3005,,Too shy or timid
3007,,Sleeps more than most kids during day and/or night (describe):
3009,,Speech problem (describe):
3011,,Steals at home
3012,,Steals outside the home
3013,,Stores up too many things he/she doesn't need (describe):
3014,,Strange behavior (describe):
3015,,Strange ideas (describe):
3017,,Sudden changes in mood or feelings
3019,,Suspicious
3020,,Swearing or obscene language
3023,,Talks too much
3025,,Temper tantrums or hot temper
3026,,Thinks about sex too much
3027,,Threatens people
3028,,Thumb-sucking
3031,,"Truancy, skips school"
3032,,"Underactive, slow moving, or lacks energy"
3033,,"Unhappy, sad, or depressed"
3034,,Unusually loud
3035,,Uses drugs for nonmedical purposes (don't include alcohol or tobacco) (describe):
3037,,Wets self during the day
3038,,Wets the bed
3039,,Whining
3040,,Wishes to be of opposite sex
3041,,"Withdrawn, doesn't get involved with others"
2217,,Aches or pains (without medical cause; do not include stomach or headaches)
2220,,Avoids looking others in the eye
2223,,Can't stand having things out of place
2224,,Can't stand waiting; wants everything now
2227,,Constantly seeks help
2228,, Apathetic or unmotivated
2231,,Defiant
2236,,Disobedient
2237,,Disturbed by any change in routine
2239,,Doesn't answer when people talk to him/her
2240,,Difficulty following directions
2241,,Doesn't get along with other children
2242,,Doesn't know how to have fun; acts like a little adult
2244,,Disturbs other children
2245,,Easily frustrated
2247,,Eats or drinks things that are not food - do not include sweets (describe):
2249,,Feeling are easily hurt
2252,,Gets into everything
2253,,Gets too upset when separated from parents
2254,,Explosive and unpredictable behavior
2255,,Headaches (without medical cause)
2256,,Hits others
2259,,Looks unhappy without good reason
2260,,Angry moods
2261,,"Nausea, feels sick (without medical cause)"
2265,,Fears daycare or school
2266,,Overtired
2267,,Fidgets
2268,,Gets teased by other children
2273,,Problems with eyes without medical cause (describe)
2274,,Punishment doesn't change his/her behavior
2277,,Refuses to eat
2286,,Shows little affection towards people
2290,,Not liked by other children
2291,,Overactive
2293,,Stares into space or seems preoccupied
2294,,Stomachaches or cramps (without medical cause)
2295,,Overconforms to rules
2302,,Too concerned with neatness or cleanliness
