irrelevant,misattributed FACETS,coarse FACETS item,granular FACETS item,not in FACETS,Subcategory,Max FACETS similarity,Source,Max non-FACETS similarity,Max FACETS similarity value,Max non-FACETS similarity value,Category,Brief Description,Description
,,,1,,Attention,Attention/Concentration,Clinical scales,Attention,0.822,0.962,Attention and Focus,Ability to concentrate and maintain focus on tasks,"The student's capacity to direct and sustain mental effort on activities, including listening, following instructions, and staying on task despite distractions"
,,,,,creativity,Creativity,Frameworks,creativity,0.821,0.935,ACT Holistic Framework,"Generating original ideas, using existing ideas or things in new ways, and having an active imagination",
,,1,,,cooperation,Social Cooperation,Frameworks,Cooperation,0.82,0.881,UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,"Cooperation, i.e., for an individual being cooperative and acting cooperatively, is the act or process of working together to get something done or to achieve a common purpose that is mutually beneficial (Tyler 2011). It can involve teamwork and active collaboration, which is a form of cooperation and is often used as a synonym. Cooperation is central to many activities in the everyday world encountered by children, youth and all learners in school, at home, at work, in the community, and at national and regional levels. Because cooperation is useful for problem solving and forms the basis for healthy social relationships, it is a core life skill directly related to family, social and political conflict management and resolution in MENA.",
,,,1,,integrity,Integrity and Honesty,Frameworks,integrity,0.807,0.749,Singapore Framework for 21CC and Student Outcomes,A person of integrity upholds ethical principles and has the moral courage to stand up for what is right.,
,,,,,creativity,Creativity,Frameworks,creativity,0.803,0.813,UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,"Creativity, or being creative, is the ability to generate, articulate or apply inventive ideas, techniques and perspectives (Ferrari, 2009), often in a collaborative environment (Lucas and Hanson, 2016). In conjunction with critical thinking and problem-solving skills, to which it closely relates, creativity is a major component of purposeful thinking, i.e., a non-chaotic, orderly and organized thought process. Further, being creative is to a large extent connected to the learners’ cognitive abilities, including their analytic and evaluative skills (Sternberg, 2006). Ideational thought processes are fundamental to creative persons (Kozbelt et al., 2010), but creativity also intersects with social and personal management skills. Therefore, creativity, while also related to the arts, is a pre-condition to innovation and adaptive behaviours and solutions in all life settings, among them in learning settings and in the workplace (Partnership for 21st Century Learning, 2015). Creativity is linked to the effectiveness of other life skills, in particular critical thinking, problem identification (Sternberg, 2010), problem-solving (Torrance, 1977) and self-management.",
,,,1,,empathy building,Empathy,Frameworks,empathy,0.8,0.824,WHO Skills for Health,"ability to listen understand another’s needs and circumstances, and express that understanding",
,,,,,Fine Motor Skills,Gross Motor Skills,FACETS,physical skills,0.799,0.557,Motor Skills,performing the full spectrum of fine motor activities,"Fine motor skills are represented by small motor movements, most commonly the product of the small muscle groups of the hands, fingers, toes, face and neck. It takes a great deal of coordination to effectively use the many muscle groups involved in fine motor activity. The coordination includes input from the kinesthetic, visual, and somatosensory systems, as well as practice for complex tasks, such as writing, drawing, speaking, and facial expression."
,,,,,Gross Motor Skills,Fine Motor Skills,FACETS,physical skills,0.799,0.531,Motor Skills,performing the full spectrum of gross motor activities,"Gross motor skills are generally large amplitude motor movements, most commonly the product of the larger muscle groups of the limbs and trunk. Since there are many muscle groups involved in gross motor activity they must be coordinated to be effective. The coordination includes input from the kinesthetic, visual, and somatosensory systems, as well as practice for complex tasks, including walking. Skilled gross motor activity sets the stage for success in many areas including athletics, dance, cycling, driving etc."
,,,,,mathematics,Mathematics,Frameworks,Mathematical Thinking,0.799,0.624,ACT Holistic Framework,"Relating and transforming numeric and symbolic quantities, including applications to data sets, patterns, space, and change",
,,1,,,control,Self-Control,Frameworks,self-control,0.796,0.766,The PRACTICE Model,"Control (self-control) includes a range of self-regulatory skills that are evident when individuals are able to modulate and restrain their impulses or immediate reactions to stimuli. Control skills such as the ability to effectively focus attention, delay gratification, and inhibit impulsive responding are crucial for early academic achievement and have been linked to later adjustment, educational, and occupational success. They also are important for problem solving, as they allow individuals to “stop and think” before acting and respond in a controlled rather than automatic fashion. Control is related to the concept of delay discounting in that low levels of impulse control are linked to higher levels of discounting future rewards. Self-control is an important skill complement to Conscientiousness.",
,,,,,self-control,Self-Control,Frameworks,self-control,0.793,0.807,ACT Holistic Framework,Managing impulses and weighing the consequences of one’s behavior before acting,
,,1,,,creativity and imagination,Creativity,Frameworks,creativity,0.788,0.797,Kenya BECF Core Competencies for Basic Education,"Creativity and imagination refers to the ability to form new images and sensations in the mind, and to turn them into reality(British Council, 2016). It is the ability to imagine things that are not real, to form pictures in the mind of things that one has not seen or experienced, and turn those pictures into real things. It also refers to the act or power of forming mental images of things that are not present to the senses, or that are never wholly perceived in reality, and creating physical representations of those images.",
,,,,,Self-Regulation,Self-Control,Clinical scales,self-regulation,0.785,0.875,Activity Level and Self-Control,Managing one's own behavior,The student's capacity to monitor and adjust their own behavior to meet situational demands without constant external prompting
,,,1,,Receptive Communication,Receptive Language,Clinical scales,Receptive Listening,0.785,0.848,Communication,Understanding what others communicate,The student's ability to comprehend verbal and nonverbal communication from teachers and peers
,,,,,self-regulation,Self-Control,Frameworks,self-regulation,0.785,0.898,Young Adult Success,"The awareness of oneself and one’s surroundings, and the ability to manage one’s attention, emotions, and behaviors in goal-directed ways. Self-regulation has numerous forms, including cognitive, emotional, behavioral, and attentional regulation. Self-regulation is a key developmental task during early and middle childhood",
,,,,,self-regulation,Self-Control,Frameworks,self-regulation,0.783,0.898,Building Blocks for Learning,"Regulation of attention, emotion and executive functions for the purposes of goal-directed actions.",
,,,1,,self-management,Self-Control,Frameworks,self-management,0.781,0.913,MESH,"Self-management, also referred to as “self-control” or “self-regulation,” is the ability to regulate one’s emotions, thoughts, and behaviors effectively in different situations. This includes managing stress, delaying gratification, motivating oneself, and setting and working toward personal and academic goals. Students with strong self-management skills arrive to class prepared, pay attention, follow directions, allow others to speak without interruption, and work independently with focus.",
,,1,,,Cooperation,Social Cooperation,Claude Opus 4.5,Cooperation,0.78,0.983,Social Functioning,Working with others,"The student's ability and willingness to collaborate, share, take turns, and work toward common goals with peers during group activities."
,,,1,,Concentration,Attention/Concentration,Clinical scales,Attention,0.78,0.773,Attention & Focus,Ability to maintain focus on tasks,"The degree to which a student can sustain mental effort and attention on academic tasks, conversations, and activities without losing track of what they are doing"
,,,,,assertiveness,Assertiveness,Frameworks,assertiveness,0.78,0.898,OECD,"Able to confidently voice opinions, needs, and feelings, and exert social influence.",
,,,,,self-control,Self-Control,Frameworks,self-control,0.779,0.835,OECD,Able to avoid distractions and focus attention on the current task in order to achieve personal goals.,
,,1,,,responsibility,Responsibility for Self & Others,Frameworks,responsibility,0.776,0.821,Singapore Framework for 21CC and Student Outcomes,"A person who is responsible recognizes that he has a duty to himself, his family, community, nation and the world, and fulfills his responsibilities with love and commitment.",
,,1,,,Empathy and Kindness,Empathy,Clinical scales,Empathy and Kindness,0.773,0.972,Prosocial Behavior,Caring about others' feelings,The student's capacity to recognize and respond sensitively to others' emotional states and to show genuine care and compassion
,,1,,,Empathy and Kindness,Empathy,Clinical scales,Empathy and Kindness,0.771,0.972,Social Relationships,Understanding and caring for others,"The student's ability to recognize others' feelings, show compassion, and act with consideration toward peers and adults."
,,,1,,Attention,Attention/Concentration,Clinical scales,Attention,0.768,0.962,Attention and Focus,Ability to maintain focus,"The student's capacity to direct and sustain attention on tasks, activities, and instructions appropriate for their age and setting."
,,1,,,Motivation & Effort,Academic Motivation,Clinical scales,Motivation,0.768,0.839,Academic Engagement,Drive to do well in school,"A student's willingness to try their best, persist with challenging work, and put forth genuine effort on academic tasks"
,,1,,,Motivation,Academic Motivation,Clinical scales,Motivation & Effort,0.766,0.839,Academic Engagement,Drive to learn,"The student's internal motivation, effort, and persistence when engaging with academic material and learning challenges."
,,1,,,Cooperation,Social Cooperation,Claude Opus 4.5,Cooperation,0.757,0.983,Social Functioning,Working effectively with others,"The student's willingness and ability to collaborate with peers and adults, share resources, take turns, and contribute to group activities."
,,1,,,communication,Social Communication,Frameworks,communication,0.757,0.82,UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,"Communication, or being able to communicate, involves the sharing of meaning through the exchange of information and common understanding (Keyton, 2011; Lunenberg, 2010; Castells, 2009). It takes place in the context of social relationships (Schiller, 2007; Castells, 2009) between two or more individuals and is considered an interpersonal skill. While communication enables human interaction and participation in society, the prevalence of new technologies and social media, particularly among youth in MENA, indicates a strong human drive for social communication (Kuhl, 2011; Dennis et al., 2016).",
,,,,,Reading,Reading,Claude Opus 4.5,reading skills,0.755,0.851,Learning and Academics,Skills related to decoding and comprehension,"The student's ability to read text accurately and fluently, understand what they read, and apply reading skills across subject areas."
,,,,,assertiveness,Assertiveness,Frameworks,assertiveness,0.752,0.886,ACT Holistic Framework,Influencing others and preferring to be in charge in social interactions and group activities,
,,,,,self-efficacy,Self-Confidence,Frameworks,self-efficacy,0.749,0.934,OECD,The strength of individuals’ beliefs in their ability to execute tasks and achieve goals.,
,,,,,Transitions,Transitions,Clinical scales,Transitions,0.748,0.975,Adaptability,Moving between activities,"The student's ability to smoothly shift from one activity, setting, or task to another throughout the school day."
,,,1,,Academic Confidence,Self-Confidence,GPT 5.2 Thinking,Self-Confidence,0.747,0.797,Academic Skills and School Functioning,believing in one’s ability to learn and succeed in school tasks,"Academic confidence is a student’s belief that they can make progress and succeed in academic work. It influences willingness to participate, take academic risks (e.g., attempting difficult problems), and ask for help. Low academic confidence may appear as quick discouragement, avoidance of challenging work, or negative self-statements about ability."
,,,,,empathy,Empathy,Frameworks,empathy,0.744,0.822,USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,"Empathyrefers to “the affective and cognitive ability to feel and understand what someoneelse is feeling” (Lippman et al., 2014a).Some violence prevention literature distinguishes types of empathy, with “cognitive empathy” referring to one’s ability to cognitively take another’s perspective and identify their state of mind, while “affective empathy” refers to the ability to share in another’s emotional state (Caravita, di Blasio, andSalmivalli, 2008). Across the literature reviewed, there is more evidence linking affective empathy with violence prevention outcomes in youth than cognitive empathy.",
,,,,,empathy,Empathy,Frameworks,empathy,0.743,0.887,UNICEF India Comprehensive Life Skills Framework,Ability to build positive relationship with others,
,,,,,self-efficacy,Self-Confidence,Frameworks,self-efficacy,0.74,0.948,MESH,"Self-efficacy is the belief in one’s ability to succeed in achieving an outcome or reaching a goal. Self-efficacy is related to whether a student believes that s/he has sufficient control over his/her environment in order to succeed. High self-efficacy reflects confidence in the ability to exert control over one's own motivation, behavior, and environment and allows students to become effective advocates for themselves.",
,,1,,,Expressive Communication,Expressive Language,Clinical scales,Expressing Ideas,0.738,0.66,Communication,Sharing thoughts and feelings clearly,"The student's ability to express ideas, needs, and emotions in ways that others can understand"
,,,1,,Following Rules,Compliance,Clinical scales,Rule Following,0.737,0.923,Conduct & Behavior,Compliance with expectations,"The degree to which a student follows classroom rules, adult instructions, and behavioral expectations at school without frequent reminders or resistance"
,,,,,cooperation and teamwork,Social Cooperation,Frameworks,Cooperation,0.736,0.872,WHO Skills for Health,expressing respect for others’ contributions and different styles assessing one’s own abilities and contributing to the group,
,,,,,Transitions,Transitions,Claude Opus 4.5,Transitions,0.733,0.975,Adaptability,Moving between activities,"The ease with which the student shifts from one task, setting, or activity to another without significant distress or behavioral disruption."
,,1,,,Stress Responses,Stress Management,Claude Opus 4.5,Stress Responses,0.73,0.977,Stress and Worry,Reactions to demanding or pressured situations,"How the student responds to high-pressure situations such as tests, deadlines, or performance expectations, including whether reactions are proportionate and manageable."
,,1,,,Motivation and Effort,Academic Motivation,Clinical scales,Motivation & Effort,0.728,0.837,Academic Engagement,Interest and investment in learning,"The student's drive to learn, willingness to put forth effort, and intrinsic interest in academic activities"
,,,,,self-efficacy,Self-Confidence,Frameworks,self-efficacy,0.727,0.934,Building Blocks for Learning,The perception that one can do something successfully.,
,,,1,,Receptive Listening,Receptive Language,Claude Opus 4.5,Receptive Communication,0.726,0.848,Communication,Understanding others' communications,The degree to which a student accurately comprehends and processes verbal information and social cues from others.
,,1,,,self-management,Self-Control,Frameworks,self-management,0.726,0.913,CASEL,"The ability to successfully regulate one’s emotions, thoughts, and behaviors in different situations — effectively managing stress, controlling impulses, and motivating oneself. The ability to set and work toward personal and academic goals. Impulse control Stress management Self-discipline Self-motivation Goal-setting Organizational skills",
,,1,,,responsibility,Responsibility for Self & Others,Frameworks,responsibility,0.724,0.818,USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,"Responsibility is defined as “1) one’s ability to understand their role (in a particular context, i.e., home, school, workplace, relationship) and reliably accomplish tasks associated with this role ... and 2) one’s belief that their choices and actions can influence the events in their life and lead to positive outcomes” (Lippman et al., 2015, “Appendices,” p. 104). The violence prevention and SRH literatures emphasize the latter aspect.",
,,1,,,studying and learning,Learning Strategies,Frameworks,Learning New Concepts,0.722,0.659,ACT Holistic Framework,"Using learning strategies to enhance comprehension, integration, and retention of learning",
,,,1,,Mathematical Thinking,Mathematics,Claude Opus 4.5,mathematics,0.721,0.624,Learning and Academics,Understanding and applying quantitative concepts,"The student's ability to grasp mathematical ideas, solve problems, reason numerically, and apply mathematical knowledge in various contexts."
,,,,,self-control,Self-Control,Frameworks,control,0.717,0.695,USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,"Self-controlrefers to one’s ability to control and regulate oneself. This includes one’s ability to control impulses, delay gratification, direct and focus attention, and regulate and modulate emotions and behaviors. Self-control is highly supported by the literature as related to workforce outcomes. In the violence prevention and psychology literature, a distinction between two important aspects of self-control is emphasized: self-control of behavior, and self-control of emotion. Self-control is key for managing impulsivity that is linked with aggression and gang membership. Of all of the youth soft skills examined, self-control had the most support of all in the violence prevention literature across outcomes and types of literature. The association between both types of self-control and youth violence prevention was also highly supported in the expert consultations.",
,,,,,achievement motivation,Academic Motivation,Frameworks,achievement motivation,0.716,0.777,The PRACTICE Model,"Achievement Motivation includes an orientation towards success, mastery, and sense of purpose. It has been associated with the capacity and drive to pursue difficult tasks, to work toward desired goals, and a high degree of independence. Individuals who are high in achievement motivation will demonstrate both a desire to learn and a focus on mastery as well as (or even more than) performance goals. They view learning skills and intelligence as an effortful, incremental process that can be improved rather than an inherited trait that is relatively stable over time. In terms of personality traits, it is most closely aligned with Conscientiousness and Openness to Experience as well as the construct of Grit.",
,,,1,,creative thinking,Creativity,Frameworks,thinks creatively,0.711,0.797,Kenya TVET Values and Life Skills (VaLI) Framework,"Students are able to look at problems or situations from a fresh perspective that aid in finding sustainable solutions. The ability to generate, articulate or apply inventive ideas, techniques or perspectives. Closely relates to critical thinking and problem solving skills.",
,,,,,perseverance,Perseverance,Frameworks,perseverance,0.707,0.654,Room to Read Life Skills Education Learning Outcomes,"Girls understand the importance of completing a task, chore, or assignment. Girls learn the steps necessary to complete a task, chore, or assignment. Girls are able to complete a task, chore, or assignment successfully even in the midst of challenges and obstacles.",
,,,,,persistence,Perseverance,Frameworks,Persistence,0.706,0.9,ACT Holistic Framework,"Working hard, making progress on relevant tasks, and maintaining focus despite setbacks or difficulties",
,,,,,Handling Transitions,Transitions,Claude Opus 4.5,Handling Transitions,0.704,0.911,Adaptability,Adjusting to changes in activities or routines,The degree to which a student can shift smoothly between tasks
,,,,,Handling Transitions,Transitions,Claude Opus 4.5,Handling Transitions,0.704,0.911,Adaptability and Flexibility,Adjusting when activities or routines change,"The student's ability to shift smoothly between activities, settings, or tasks without significant distress, resistance, or behavioral difficulties."
,,,1,,planning,Planning and Organization,Frameworks,Task Planning,0.704,0.77,Kenya TVET Values and Life Skills (VaLI) Framework,Students are able to prioritize tasks and activities so as to ensure work is completed within expected timelines.,
,,,1,,Rule-Following,Compliance,Clinical scales,Rule-Following,0.701,0.956,Behavior and Conduct,Compliance with expectations and boundaries,"The student's tendency to follow rules, respect authority, and comply with reasonable expectations from adults"
,,1,,,achievement motivation,Academic Motivation,Frameworks,achievement motivation,0.7,0.777,Developmental Assets (ages 12-18),Young person is motivated to do well in school.,
,,,,,self-efficacy,Self-Confidence,Frameworks,self-efficacy,0.7,0.948,Kenya BECF Core Competencies for Basic Education,"Self-efficacy is a person’s belief about his or her capabilities to perform tasks or assignments that can change and transform his or her life. It determines how the person feels, thinks, behaves and motivates themselves. Self-efficacy has the potential to determine four major processes namely cognitive, motivational, affective and selection processes.",
,,,1,,Aggression,Assertiveness,Clinical scales,Aggression,0.697,0.99,Behavior,Hostile or harmful behavior,"The occurrence of behaviors intended to hurt, intimidate, or harm others physically, verbally, or relationally."
,,,1,,Aggression,Assertiveness,Clinical scales,Aggression,0.695,0.99,Behavior and Conduct,Hostile or hurtful behavior toward others,"The frequency and intensity of behaviors intended to harm, intimidate, threaten, or bully others, whether physical or verbal"
,,1,,,Stress Responses,Stress Management,Clinical scales,Stress Responses,0.694,0.944,Worry and Stress,Physical and emotional reactions to pressure,"How the student's body and mind respond to stressful situations, including physical tension, nervousness, and difficulty relaxing"
,,1,,,Stress Responses,Stress Management,Claude Opus 4.5,Stress Responses,0.693,0.977,Worry and Stress,Reactions to pressure,"How the student responds to stressful situations such as tests, deadlines, social pressures, or unexpected events."
,,,,,Persistence,Perseverance,Claude Opus 4.5,Persistence,0.692,0.978,Motivation and Engagement,Continuing despite difficulty,"The student's tendency to keep working on challenging tasks rather than giving up, including bouncing back after initial failures."
,,,1,,taking responsible risks,Risk Taking,Frameworks,risk-takers,0.692,0.722,Habits of Mind,"Flexible people seem to have an almost uncontrollable urge to go beyond established limits. They are uneasy about comfort; they ""live on the edge of their competence"". They seem compelled to place themselves in situations where they do not know what the outcome will be. They accept confusion, uncertainty, and the higher risks of failure as part of the normal process and they learn to view setbacks as interesting, challenging and growth producing. However, they are not behaving impulsively. Their risks are educated. They draw on past knowledge, are thoughtful about consequences and have a well-trained sense of what is appropriate. They know that all risks are not worth taking! Risk taking can be considered in two categories: those who see it as a venture and those who see it as adventure. The venture part of risk taking might be described by the venture capitalist. When a person is approached to take the risk of investing in a new business, she will look at the markets, see how well organized the ideas are, and study the economic projections. If she finally decides to take the risk, it is a well considered one.The adventure part of risk taking might be described by the experiences from project adventure. In this situation, there is a spontaneity, a willingness to take a chance in the moment. Once again, a person will only take the chance if they know that there is either past history that suggests that what they are doing is not going to be life threatening or if they believe that there is enough support in the group to protect them from harm. Ultimately, the learning from such high-risk experiences is that people are far more able to take actions than they previously believed. It is only through repeated experiences that risk taking becomes educated. It often is a cross between intuition, drawing on past knowledge and a sense of meeting new challenges. Bobby Jindal, executive Director of the National Bipartisan Commission on the Future of Medicare states, “The only way to succeed is to be brave enough to risk failure. “ (Briggs, 1999 p 2A) When someone holds back from taking risks, he is confronted constantly with missed opportunities. Some students seem reluctant to take risks. Some students hold back games, new learning, and new friendships because their fear of failure is far greater than their experience of venture or adventure. They are reinforced by the mental voice that says, “ if you don’t try it, you won’t be wrong” or “if you try it and you are wrong, you will look stupid”. The other voice that might say, “if you don’t try it, you will never know” is trapped in fear and mistrust. They are more interested in knowing whether their answer is correct or not, rather than being challenged by the process of finding the answer. They are unable to sustain a process of problem solving and finding the answer over time, and therefore avoid ambiguous situations. They have a need for certainty rather than an inclination for doubt. We hope that students will learn how to take intellectual as well as physical risks. Students who are capable of being different, going against the grain of the common, thinking of new ideas and testing them with peers as well as teachers, are more likely to be successful in this age of innovation and uncertainty.",
,,,1,,creative skills,Creativity,Frameworks,creativity,0.692,0.718,LEGO&#x27;s Skills for Holistic Development,"Coming up with ideas, expressing them and transforming them into reality by creating associations, symbolising and representing ideas and providing meaningful experiences for others.",
,,,1,,Academic Self-Belief,Self-Confidence,Claude Opus 4.5,Self-Confidence,0.691,0.837,Self-Concept,Confidence in school-related abilities,"The student's perceptions of their own competence specifically in academic domains, including whether they believe they can succeed at schoolwork."
,,1,,,communication,Social Communication,Frameworks,communication,0.69,0.82,UNICEF India Comprehensive Life Skills Framework,"Ability to exchange information, express opinions, desires, needs and fears",
,,,1,,Task Focus,Attention/Concentration,Claude Opus 4.5,Task Focus,0.689,0.96,Attention and Focus,Ability to concentrate on activities,"The degree to which a student can direct and maintain their mental effort on classroom tasks, assignments, and instruction without losing track of what they are doing."
,,1,,,responsibility,Responsibility for Self & Others,Frameworks,Taking Responsibility,0.686,0.791,Developmental Assets (ages 12-18),Young person accepts and takes personal responsibility.,
