Source,Category,Subcategory,Brief Description,Description,,,,
Claude Opus 4.5,Independence,Self-Management,Regulating one's own behavior and learning,The extent to which a student monitors and directs their own actions,time,and effort without constant external prompting.,,
Claude Opus 4.5,Independence,Organization,Keeping track of materials and responsibilities,The degree to which a student maintains order with belongings,assignments,and schedules in an age-appropriate manner.,,
Claude Opus 4.5,Independence,Taking Responsibility,Ownership of actions and obligations,The extent to which a student accepts accountability for their behavior,work,and commitments without making excuses or blaming others.,,
Claude Opus 4.5,Problem-Solving,Decision-Making,Making thoughtful choices,The degree to which a student can weigh options,consider consequences,and arrive at reasonable decisions in academic and social contexts.,,
Claude Opus 4.5,Problem-Solving,Handling Challenges,Approaching difficulties constructively,The extent to which a student responds to obstacles or problems with a solution-oriented mindset rather than avoidance or frustration.,,,,
Claude Opus 4.5,Energy and Alertness,Physical Energy,Observable activity and vitality levels,The degree to which a student displays age-appropriate energy and physical engagement throughout the school day.,,,,
Claude Opus 4.5,Energy and Alertness,Alertness,Appearing awake and mentally present,The extent to which a student appears rested,mentally present,and ready to engage with learning activities.,,
,,,,,,,,
Claude Opus 4.5,Attention and Focus,Task Focus,Ability to concentrate on activities,"The degree to which a student can direct and maintain their mental effort on classroom tasks, assignments, and instruction without losing track of what they are doing.",,,,
Claude Opus 4.5,Attention and Focus,Distractibility,Tendency to be pulled off-task,"How easily the student's attention is drawn away from the current activity by external stimuli (sounds, movement, peers) or internal thoughts unrelated to the task.",,,,
Claude Opus 4.5,Attention and Focus,Following Directions,Ability to listen to and carry out instructions,"The student's capacity to attend to verbal or written instructions and execute them accurately, including multi-step directions.",,,,
Claude Opus 4.5,Emotional Regulation,Frustration Tolerance,Handling difficulty without becoming overwhelmed,"The student's ability to cope with challenging situations, setbacks, or obstacles without becoming excessively upset, shutting down, or acting out.",,,,
Claude Opus 4.5,Emotional Regulation,Emotional Recovery,Bouncing back after becoming upset,"How quickly and effectively the student returns to a calm, regulated state after experiencing strong negative emotions such as anger, sadness, or disappointment.",,,,
Claude Opus 4.5,Emotional Regulation,Emotional Expression,Appropriateness of showing feelings,"The degree to which the student expresses emotions in ways that are situationally appropriate in terms of intensity, timing, and manner.",,,,
Claude Opus 4.5,Emotional Regulation,Mood Stability,Consistency of emotional state over time,"The extent to which the student's general mood remains relatively steady throughout the day, without rapid or unpredictable shifts.",,,,
Claude Opus 4.5,Social Functioning,Peer Relationships,Quality of connections with same-age classmates,"The student's ability to form and maintain positive relationships with peers, including having friends, being accepted by classmates, and engaging in reciprocal social interactions.",,,,
Claude Opus 4.5,Social Functioning,Adult Interactions,Quality of relationships with teachers and staff,"How the student relates to authority figures and adult school personnel, including showing appropriate respect, seeking help when needed, and responding to guidance.",,,,
Claude Opus 4.5,Social Functioning,Cooperation,Working effectively with others,"The student's willingness and ability to collaborate with peers and adults, share resources, take turns, and contribute to group activities.",,,,
Claude Opus 4.5,Social Functioning,Conflict Management,Handling disagreements constructively,"The student's capacity to navigate interpersonal conflicts, disagreements, or social problems through communication, compromise, or appropriate help-seeking rather than aggression or withdrawal.",,,,
Claude Opus 4.5,Social Functioning,Social Awareness,Understanding social cues and others' perspectives,"The degree to which the student recognizes and interprets social signals, understands how their behavior affects others, and demonstrates awareness of others' feelings and viewpoints.",,,,
Claude Opus 4.5,Behavioral Self-Control,Impulse Control,Thinking before acting,"The student's ability to pause and consider consequences before acting, resist urges to engage in inappropriate behavior, and inhibit automatic responses when necessary.",,,,
Claude Opus 4.5,Behavioral Self-Control,Rule-Following,Adhering to classroom and school expectations,"The extent to which the student understands and complies with established rules, routines, and behavioral expectations without requiring constant reminders or supervision.",,,,
Claude Opus 4.5,Behavioral Self-Control,Physical Self-Regulation,Managing body and movements appropriately,"The student's ability to control their physical actions, including staying seated when expected, keeping hands to self, and modulating activity level to match the situation.",,,,
Claude Opus 4.5,Motivation and Engagement,Task Initiation,Getting started on work independently,"The student's tendency to begin assignments, activities, or responsibilities promptly without excessive prompting, avoidance, or delay.",,,,
Claude Opus 4.5,Motivation and Engagement,Persistence,Continuing effort despite difficulty,"The student's willingness to keep working on challenging tasks, push through obstacles, and sustain effort even when success is not immediate.",,,,
Claude Opus 4.5,Motivation and Engagement,Effort,Amount of energy invested in schoolwork,"The degree to which the student applies themselves to academic tasks, tries their best, and demonstrates genuine investment in the quality of their work.",,,,
Claude Opus 4.5,Motivation and Engagement,Interest in Learning,Curiosity and enthusiasm for new knowledge,"The student's apparent enjoyment of learning, desire to explore new topics, and engagement with educational content beyond minimum requirements.",,,,
Claude Opus 4.5,Learning and Academics,Reading,Skills related to decoding and comprehension,"The student's ability to read text accurately and fluently, understand what they read, and apply reading skills across subject areas.",,,,
Claude Opus 4.5,Learning and Academics,Written Expression,Ability to communicate through writing,"The student's capacity to convey ideas, information, and knowledge through written work, including organization, clarity, and age-appropriate mechanics.",,,,
Claude Opus 4.5,Learning and Academics,Mathematical Thinking,Understanding and applying quantitative concepts,"The student's ability to grasp mathematical ideas, solve problems, reason numerically, and apply mathematical knowledge in various contexts.",,,,
Claude Opus 4.5,Learning and Academics,Learning New Concepts,Acquiring and integrating new information,"The student's general ability to understand, retain, and make use of new information and skills presented in instruction.",,,,
Claude Opus 4.5,Self-Concept,Self-Confidence,Belief in one's own abilities,"The student's general sense that they are capable and competent, including willingness to attempt challenging tasks and comfort expressing ideas.",,,,
Claude Opus 4.5,Self-Concept,Self-Worth,Overall sense of value as a person,"The student's apparent feelings about themselves as a person, including indicators of whether they see themselves as valued, likable, and deserving of good treatment.",,,,
Claude Opus 4.5,Self-Concept,Academic Self-Belief,Confidence in school-related abilities,"The student's perceptions of their own competence specifically in academic domains, including whether they believe they can succeed at schoolwork.",,,,
Claude Opus 4.5,Communication,Verbal Expression,Clarity and effectiveness of spoken language,"The student's ability to express thoughts, needs, and ideas clearly through speech, including vocabulary use, sentence structure, and coherent organization of ideas.",,,,
Claude Opus 4.5,Communication,Listening Comprehension,Understanding spoken information,"The student's capacity to accurately receive, process, and understand verbal communication from teachers and peers.",,,,
Claude Opus 4.5,Communication,Conversational Skills,Engaging in back-and-forth dialogue,"The student's ability to participate in reciprocal conversations, including turn-taking, staying on topic, and responding appropriately to what others say.",,,,
Claude Opus 4.5,Adaptability and Flexibility,Handling Transitions,Adjusting when activities or routines change,"The student's ability to shift smoothly between activities, settings, or tasks without significant distress, resistance, or behavioral difficulties.",,,,
Claude Opus 4.5,Adaptability and Flexibility,Adjusting to Change,Coping with unexpected alterations to plans or expectations,"The student's capacity to manage departures from routine, unexpected events, or changes in circumstances without becoming excessively upset or dysregulated.",,,,
Claude Opus 4.5,Adaptability and Flexibility,Thinking Flexibility,Openness to different approaches and perspectives,"The student's ability to consider alternative viewpoints, shift strategies when one approach is not working, and avoid rigid or perseverative thinking patterns.",,,,
Claude Opus 4.5,Stress and Worry,Signs of Nervousness,Observable indicators of anxiety,"The degree to which the student displays behaviors or verbalizations suggesting worry, fear, or nervousness, such as fidgeting, expressed concerns, avoidance, or physical complaints before stressful situations.",,,,
Claude Opus 4.5,Stress and Worry,Stress Responses,Reactions to demanding or pressured situations,"How the student responds to high-pressure situations such as tests, deadlines, or performance expectations, including whether reactions are proportionate and manageable.",,,,
Claude Opus 4.5,Stress and Worry,Excessive Worry,Tendency to ruminate or anticipate negative outcomes,"The extent to which the student engages in persistent worrying about future events, potential problems, or negative possibilities beyond what the situation warrants.",,,,
Claude Opus 4.5,Organization and Planning,Material Management,Keeping track of belongings and supplies,"The student's ability to organize, maintain, and locate their materials, including school supplies, assignments, and personal items.",,,,
Claude Opus 4.5,Organization and Planning,Task Planning,Breaking down and sequencing work,"The student's capacity to think ahead about how to approach assignments or projects, including identifying steps, allocating time, and anticipating what will be needed.",,,,
Claude Opus 4.5,Organization and Planning,Time Awareness,Understanding and managing time,"The student's sense of how long tasks take, ability to work within time constraints, and awareness of schedules and deadlines.",,,,
Claude Opus 4.5,Energy and Alertness,Activity Level,Amount of physical movement and energy,"The overall level of physical activity the student displays, and whether this level is appropriate for the setting and situation.",,,,
Claude Opus 4.5,Energy and Alertness,Alertness,State of wakefulness and mental readiness,"The degree to which the student appears awake, attentive, and mentally present during instruction and activities, versus drowsy, sluggish, or fatigued.",,,,
Claude Opus 4.5,Energy and Alertness,Physical Restlessness,Difficulty remaining still when expected,"The student's tendency to fidget, move around, or have difficulty staying seated or stationary in situations that require it.",,,,
,,,,,,,,
Claude Opus 4.5,Attention and Focus,Sustained Focus,Maintaining attention on tasks,The degree to which a student can maintain attention on a task or activity for an age-appropriate duration without external prompts or redirection.,,,,
Claude Opus 4.5,Attention and Focus,Distractibility,Susceptibility to off-task behavior,"How easily the student's attention is pulled away from the current task by environmental stimuli, internal thoughts, or peer activity.",,,,
Claude Opus 4.5,Attention and Focus,Task Completion,Following through on assignments,"The student's ability to complete assigned work within expected timeframes, including returning to tasks after interruptions.",,,,
Claude Opus 4.5,Emotional Regulation,Frustration Tolerance,Managing disappointment and obstacles,"How the student responds when encountering challenges, setbacks, or situations that do not go as expected.",,,,
Claude Opus 4.5,Emotional Regulation,Emotional Intensity,Strength of emotional reactions,"The magnitude of the student's emotional responses relative to the triggering situation, including both positive and negative emotions.",,,,
Claude Opus 4.5,Emotional Regulation,Emotional Recovery,Returning to baseline after upset,The time and support needed for the student to calm down and return to a regulated state after experiencing strong emotions.,,,,
Claude Opus 4.5,Emotional Regulation,Emotional Expression,Appropriateness of showing feelings,"How the student communicates their emotional states, including whether expressions match the context and social expectations of the setting.",,,,
Claude Opus 4.5,Mood and Outlook,General Mood,Typical emotional state,The student's characteristic or predominant emotional tone observed across typical school days and activities.,,,,
Claude Opus 4.5,Mood and Outlook,Mood Variability,Consistency of emotional state,The degree to which the student's mood remains stable versus fluctuates noticeably within or across school days.,,,,
Claude Opus 4.5,Mood and Outlook,Enjoyment,Capacity for pleasure and interest,"The student's apparent ability to experience enjoyment, enthusiasm, or positive engagement during activities they previously or typically find rewarding.",,,,
Claude Opus 4.5,Mood and Outlook,Sadness Indicators,Signs of low mood or unhappiness,"Observable behaviors or expressed statements suggesting the student is experiencing persistent unhappiness, hopelessness, or low spirits.",,,,
Claude Opus 4.5,Social Functioning,Peer Relationships,Connections with same-age classmates,"The quality and nature of the student's interactions and relationships with classmates, including friendships, acceptance, and social standing.",,,,
Claude Opus 4.5,Social Functioning,Adult Relationships,Interactions with teachers and staff,"How the student relates to and interacts with teachers, administrators, and other school personnel, including trust, respect, and comfort.",,,,
Claude Opus 4.5,Social Functioning,Cooperation,Working with others,"The student's ability and willingness to collaborate, share, take turns, and work toward common goals with peers during group activities.",,,,
Claude Opus 4.5,Social Functioning,Social Awareness,Reading social situations,"The student's ability to perceive and interpret social cues, understand others' perspectives, and recognize the impact of their behavior on others.",,,,
Claude Opus 4.5,Social Functioning,Conflict Resolution,Handling disagreements,"How the student navigates interpersonal conflicts, including their ability to compromise, negotiate, and resolve disputes without escalation.",,,,
Claude Opus 4.5,Behavioral Control,Impulse Management,Thinking before acting,"The student's ability to pause and consider consequences before acting, including waiting their turn and resisting immediate urges.",,,,
Claude Opus 4.5,Behavioral Control,Rule Following,Adherence to expectations,"The degree to which the student complies with classroom rules, school policies, and adult directives with or without direct supervision.",,,,
Claude Opus 4.5,Behavioral Control,Physical Conduct,Bodily interactions with others,"How the student uses their body in relation to others, including maintaining appropriate physical boundaries and refraining from harmful physical actions.",,,,
Claude Opus 4.5,Behavioral Control,Verbal Conduct,Appropriateness of speech,"The student's use of language toward others, including tone, word choice, and refraining from hurtful, threatening, or inappropriate verbal behavior.",,,,
Claude Opus 4.5,Self-Perception,Self-Confidence,Belief in own abilities,"The student's expressed or demonstrated belief that they can successfully accomplish tasks, learn new material, and meet challenges.",,,,
Claude Opus 4.5,Self-Perception,Self-Worth,Sense of personal value,"The student's apparent sense of being a valued, likable, and worthwhile person, as reflected in statements and behavior.",,,,
Claude Opus 4.5,Self-Perception,Academic Self-View,Beliefs about learning ability,How the student perceives their own academic capabilities and potential for success in school-related tasks.,,,,
Claude Opus 4.5,Motivation and Engagement,Academic Motivation,Drive to learn and achieve,"The student's apparent internal desire to engage with academic content, complete schoolwork, and pursue educational goals.",,,,
Claude Opus 4.5,Motivation and Engagement,Initiative,Self-starting behavior,"The degree to which the student independently begins tasks, seeks out learning opportunities, or takes action without prompting.",,,,
Claude Opus 4.5,Motivation and Engagement,Persistence,Continuing despite difficulty,"The student's tendency to keep working on challenging tasks rather than giving up, including bouncing back after initial failures.",,,,
Claude Opus 4.5,Motivation and Engagement,Curiosity,Interest in learning new things,"The student's demonstrated desire to explore, ask questions, and learn about new topics or ideas.",,,,
Claude Opus 4.5,Adaptability,Response to Change,Handling new situations,"How the student reacts to changes in routines, expectations, environments, or activities, including flexibility versus rigidity.",,,,
Claude Opus 4.5,Adaptability,Transitions,Moving between activities,"The ease with which the student shifts from one task, setting, or activity to another without significant distress or behavioral disruption.",,,,
Claude Opus 4.5,Adaptability,Problem-Solving Approach,Tackling challenges,"The strategies the student employs when facing obstacles, including flexibility in trying different approaches versus becoming stuck.",,,,
Claude Opus 4.5,Organization and Planning,Material Management,Keeping track of belongings,"The student's ability to organize, locate, and maintain their school supplies, assignments, and personal belongings.",,,,
Claude Opus 4.5,Organization and Planning,Time Awareness,Managing time effectively,"The student's sense of time, including awareness of deadlines, pacing during tasks, and allocating appropriate time to activities.",,,,
Claude Opus 4.5,Organization and Planning,Task Planning,Breaking down and sequencing work,The student's ability to understand what steps are needed to complete an assignment and approach tasks in a logical order.,,,,
Claude Opus 4.5,Communication,Verbal Expression,Conveying thoughts through speech,"The student's ability to articulate ideas, needs, and feelings clearly and effectively through spoken language.",,,,
Claude Opus 4.5,Communication,Listening and Comprehension,Understanding spoken information,"The student's ability to attend to, process, and understand verbal instructions, explanations, and conversations.",,,,
Claude Opus 4.5,Communication,Nonverbal Communication,Body language and gestures,"The student's use and interpretation of facial expressions, body posture, eye contact, and gestures in social interactions.",,,,
Claude Opus 4.5,Worry and Stress,Anxious Behaviors,Signs of worry or nervousness,"Observable behaviors suggesting the student experiences excessive worry, nervousness, or fear, including avoidance, reassurance-seeking, or physical signs of tension.",,,,
Claude Opus 4.5,Worry and Stress,Stress Responses,Reactions to pressure,"How the student responds to stressful situations such as tests, deadlines, social pressures, or unexpected events.",,,,
Claude Opus 4.5,Worry and Stress,Coping Strategies,Methods for managing stress,"The approaches the student uses to handle stressful situations, including whether strategies are effective and appropriate.",,,,
Claude Opus 4.5,Physical Well-Being,Energy Level,Observable vitality and alertness,"The student's typical level of physical energy, alertness, and vitality during the school day.",,,,
Claude Opus 4.5,Physical Well-Being,Somatic Complaints,Reports of physical discomfort,"The frequency with which the student reports or displays physical complaints such as headaches, stomachaches, or general discomfort without clear medical cause.",,,,
Claude Opus 4.5,Physical Well-Being,Fatigue Indicators,Signs of tiredness,"Observable signs that the student is tired, sleepy, or lacking the physical or mental energy needed to engage in school activities.",,,,
Claude Opus 4.5,Independence,Self-Direction,Working without supervision,The student's ability to work productively and stay on task without constant adult monitoring or guidance.,,,,
Claude Opus 4.5,Independence,Help-Seeking,Appropriate requests for assistance,"The student's ability to recognize when they need help and seek assistance appropriately, balancing independence with knowing when support is needed.",,,,
Claude Opus 4.5,Independence,Decision Making,Making age-appropriate choices,"The student's ability to make reasonable decisions about their own behavior, work, and social interactions.",,,,
